SUBURB,Oct - Dec 20,Jan - Mar 2021,Apr - Jun 2021,Jul-Aug 21,Oct - Dec 21,Mean21
HEATHMONT,930000,1030000,1061000,1079500,1111000,1070375
HEIDELBERG,1320000,1318000,1382500,1425000,1572500,1424500
HEIDELBERG HEIGHTS,800000,960000,1000000,974500,1065000,999875
HEIDELBERG WEST,740000,730000,780500,885000,850000,811375
HEPBURN,540000,607500,667500,782500,757500,703750
HEPBURN SPRINGS,730000,710000,785000,767500,897000,789875
HERNE HILL,625000,666000,700000,767500,801000,733625
HEYFIELD,275000,320000,320000,294500,370000,326125
HEYWOOD,215000,236800,240000,222500,264500,240950
HIGHETT,1390000,1496000,1622000,1572500,1600000,1572625
HIGHTON,772000,871500,875500,908500,900100,888900
HILLSIDE (MELTON),695000,727500,720000,717500,770000,733750
HOPETOUN,171000,144500,126000,150000,159000,144875
HOPPERS CROSSING,560000,545000,580000,600000,609000,583500
HORSHAM,285000,324500,325000,347500,389000,346500
HUGHESDALE,1052500,1387700,1409000,1367500,1611000,1443800
HUNTINGDALE,1172000,1402000,1288000,1244000,1295300,1307325
HUNTLY,435000,447500,480000,480000,542500,487500
HURSTBRIDGE,840000,860000,943000,1010000,893000,926500
INDENTED HEAD,615000,682500,732000,750000,860000,756125
INGLEWOOD,200000,317500,277500,333800,340000,317200
INVERLOCH,690000,842500,900000,855000,1020000,904375
INVERMAY PARK,550000,667500,655000,642500,800000,691250
IRONBARK,495000,523800,472500,497500,670000,540950
IRYMPLE,417800,417500,440000,415000,493700,441550
IVANHOE,1640000,1830000,1670000,1781800,2100000,1845450
IVANHOE EAST,1910000,2237500,2415000,2000000,2502500,2288750
JACANA,549000,595000,640000,620000,640000,623750
JACKASS FLAT,420000,447500,440000,486000,532500,476500
JAN JUC,1140000,1363100,1310000,1440000,1325000,1359525
JEERALANG NORTH,248800,265000,267500,289500,316500,284625
JEPARIT,101500,105000,116300,110000,139500,117700
JUNCTION VILLAGE,532500,610000,600700,595500,615000,605300
JUNORTOUN,717500,655000,650000,697500,842500,711250
KALIMNA,388000,385000,476300,509000,477500,461950
KALKALLO,556700,590000,620000,607500,645000,615625
KALLISTA,690000,799500,900000,838500,1035000,893250
KALORAMA,765000,827500,780000,848500,802500,814625
KANGAROO FLAT,405000,390000,465000,466000,507800,457200
KANGAROO GROUND SOUTH,1025000,1108000,1177500,1172500,1275000,1183250
KANIVA,174000,174000,168000,211500,165000,179625
KATANDRA WEST,180000,262500,262500,335000,387500,311875
KEALBA,600000,650000,645000,722500,665000,670625
KEILOR,895500,990000,1100000,1081000,1070300,1060325
KEILOR DOWNS,681300,754000,725000,820000,850000,787250
KEILOR EAST,870000,922500,923500,1000000,1060000,976500
KEILOR LODGE,757500,838000,820000,895000,710000,815750
KEILOR PARK,735000,775000,793300,795000,890000,813325
KENNINGTON,429000,510000,480000,550000,590000,532500
KENSINGTON,1200000,1017000,1180000,1254000,1192500,1160875
KERANG,231300,240000,238500,235000,240000,238375
KEW,2300000,2967500,2800000,2300000,2580000,2661875
KEW EAST,1732500,1970000,2120000,1650000,1860000,1900000
KEW NORTH,1770000,2041000,2021000,2100000,2032500,2048625
KEYSBOROUGH,798400,835000,854500,1050000,972000,927875
KIALLA,505000,512000,525000,630000,595000,565500
KILCUNDA,781000,842500,1210000,840000,1250000,1035625
KILLARA (WODONGA),502000,478000,521000,605000,630000,558500
KILMORE,495000,517500,549000,510000,620000,549125
KILSYTH,700000,695000,763000,838000,860000,789000
KILSYTH SOUTH,880000,895000,920000,953500,1181000,987375
KINGLAKE,600000,665000,585000,600000,715000,641250
KINGS PARK,562500,565400,605000,601000,632500,600975
KINGSBURY,766300,790000,857500,817500,897500,840625
KINGSVILLE,1030000,1175000,1220000,1190000,1435000,1255000
KNOXFIELD,842500,930000,967500,1050000,1020000,991875
KOO WEE RUP,600000,600000,590500,610000,635000,608875
KOONDROOK,254000,322500,270000,260000,335500,297000
KOOYONG,3420000,5625000,3150000,3150000,3150000,3768750
KOROIT,445000,505000,512500,450000,600000,516875
KORUMBURRA,407500,480000,399500,515000,550000,486125
KURUNJANG,432500,441500,460000,516000,515000,483125
KYABRAM,285000,279000,300000,295000,360000,308500
KYNETON,645500,755000,726300,725000,845000,762825
LAKE BOGA,319500,265000,282500,475000,337500,340000
LAKE BOLAC,184000,184000,280000,280000,276000,255000
LAKE GARDENS,440000,635000,757500,675000,710000,694375
LAKE TYERS BEACH,485000,479000,440000,512500,625000,514125
LAKE WENDOUREE,1230000,1212500,1252000,1198800,1295000,1239575
LAKES ENTRANCE,390000,376000,443800,435000,460000,428700
LALOR,645000,675800,682500,723500,731300,703275
LANCEFIELD,535000,586300,687500,717500,672500,665950
LANG LANG,550000,540000,660000,637500,691300,632200
LANGWARRIN,688800,717500,818000,856500,850000,810500
LARA,507500,680000,630000,692500,720000,680625
LARA LAKE,586500,600000,670500,671500,702500,661125
LAUNCHING PLACE,592500,694000,665000,718000,716000,698250
LAVERTON,567500,577500,590000,620000,640000,606875
LAVERTON SOUTH,656500,696500,708000,730000,775000,727375
LEITCHVILLE,145000,220000,262000,146000,222500,212625
LENEVA,485000,486000,540000,617500,597500,560250
LEONGATHA,475000,505000,516000,495000,547500,515875
LEOPOLD,542000,575000,650000,650500,715000,647625
LILYDALE,757000,802500,828800,860000,916500,851950
