            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 22/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,Median age of earners (years),,,,,Sum ($),,,,,Median ($),,,,,Mean ($),,,,,,,,,,,,,
108011154,Tuncurry," 2,578 "," 2,627 "," 2,661 "," 2,691 ","2,753", 54 , 53 , 54 , 54 , 54 ," 102,115,451 "," 108,996,530 "," 107,845,200 "," 115,748,855 ","116,957,135"," 31,121 "," 32,623 "," 32,672 "," 32,915 ","33,500"," 39,610 "," 41,491 "," 40,528 "," 43,013 ","42,484",,,,,,,,,
108021155,Kempsey," 5,874 "," 6,029 "," 6,010 "," 6,124 ","6,155", 46 , 46 , 46 , 46 , 46 ," 246,242,810 "," 256,451,881 "," 258,961,988 "," 273,824,334 ","283,688,305"," 36,962 "," 37,903 "," 38,346 "," 39,733 ","41,580"," 41,921 "," 42,536 "," 43,089 "," 44,713 ","46,091",,,,,,,,,
108021156,Kempsey Region," 4,523 "," 4,375 "," 4,612 "," 4,675 ","4,726", 51 , 51 , 50 , 50 , 50 ," 178,566,713 "," 181,962,886 "," 192,356,725 "," 198,087,512 ","202,222,862"," 32,554 "," 34,446 "," 34,743 "," 35,614 ","36,753"," 39,480 "," 41,592 "," 41,708 "," 42,372 ","42,789",,,,,,,,,
108021157,Macksville - Scotts Head," 2,293 "," 2,302 "," 2,318 "," 2,369 ","2,398", 49 , 49 , 49 , 48 , 49 ," 93,448,961 "," 100,968,643 "," 102,387,249 "," 110,198,673 ","109,506,392"," 34,367 "," 37,049 "," 37,587 "," 38,624 ","37,884"," 40,754 "," 43,861 "," 44,171 "," 46,517 ","45,666",,,,,,,,,
108021158,Nambucca Heads," 2,665 "," 2,631 "," 2,695 "," 2,722 ","2,829", 52 , 52 , 51 , 52 , 51 ," 112,514,437 "," 110,874,405 "," 110,290,522 "," 115,615,805 ","120,678,745"," 33,699 "," 34,540 "," 33,373 "," 35,292 ","35,368"," 42,219 "," 42,142 "," 40,924 "," 42,475 ","42,658",,,,,,,,,
108021159,Nambucca Heads Region," 3,702 "," 3,763 "," 3,842 "," 3,962 ","3,960", 50 , 50 , 50 , 50 , 50 ," 147,586,383 "," 152,528,657 "," 160,009,863 "," 165,441,817 ","170,599,423"," 32,540 "," 33,640 "," 33,873 "," 34,533 ","36,291"," 39,867 "," 40,534 "," 41,648 "," 41,757 ","43,081",,,,,,,,,
108021160,South West Rocks," 2,330 "," 2,359 "," 2,450 "," 2,494 ","2,566", 52 , 52 , 53 , 53 , 53 ," 97,429,133 "," 103,564,555 "," 106,649,092 "," 110,580,732 ","116,477,082"," 31,495 "," 34,125 "," 34,631 "," 34,119 ","36,088"," 41,815 "," 43,902 "," 43,530 "," 44,339 ","45,392",,,,,,,,,
108031161,Lord Howe Island, 295 , 286 , 304 , 302 , 317 , 49 , 46 , 48 , 47 , 46 ," 14,210,756 "," 13,983,421 "," 19,032,747 "," 17,122,182 ","20,416,128"," 36,700 "," 41,094 "," 42,647 "," 43,559 ","50,737"," 48,172 "," 48,893 "," 62,608 "," 56,696 ","64,404",,,,,,,,,
108041162,Laurieton - Bonny Hills," 7,955 "," 8,187 "," 8,477 "," 8,777 ","8,939", 51 , 52 , 52 , 52 , 52 ," 338,301,770 "," 353,963,081 "," 372,297,966 "," 387,674,114 ","407,026,691"," 35,057 "," 35,309 "," 35,739 "," 36,280 ","37,269"," 42,527 "," 43,235 "," 43,919 "," 44,169 ","45,534",,,,,,,,,
108041163,Port Macquarie - East," 15,719 "," 15,450 "," 16,012 "," 16,204 ","16,282", 48 , 47 , 48 , 48 , 48 ," 805,470,741 "," 812,825,662 "," 858,352,967 "," 894,801,424 ","925,666,908"," 40,220 "," 41,538 "," 42,087 "," 43,023 ","44,534"," 51,242 "," 52,610 "," 53,607 "," 55,221 ","56,852",,,,,,,,,
108041164,Port Macquarie - West," 7,907 "," 8,138 "," 8,901 "," 9,297 ","9,691", 47 , 47 , 46 , 46 , 46 ," 375,308,801 "," 399,814,187 "," 434,557,335 "," 463,291,886 ","499,269,693"," 38,682 "," 40,038 "," 40,216 "," 41,453 ","42,635"," 47,465 "," 49,129 "," 48,821 "," 49,832 ","51,519",,,,,,,,,
108041165,Port Macquarie Region," 2,942 "," 2,957 "," 3,090 "," 3,153 ","3,160", 50 , 50 , 50 , 50 , 49 ," 124,277,660 "," 130,897,683 "," 138,458,518 "," 138,704,188 ","141,117,596"," 33,543 "," 35,518 "," 37,175 "," 36,624 ","37,410"," 42,243 "," 44,267 "," 44,809 "," 43,991 ","44,657",,,,,,,,,
108041166,Wauchope," 5,445 "," 5,508 "," 5,703 "," 5,972 ","6,162", 47 , 47 , 47 , 47 , 46 ," 255,420,209 "," 260,291,432 "," 274,491,629 "," 294,949,576 ","316,489,058"," 38,477 "," 39,363 "," 40,025 "," 41,794 ","43,478"," 46,909 "," 47,257 "," 48,131 "," 49,389 ","51,361",,,,,,,,,
108051167,Gloucester," 2,508 "," 2,519 "," 2,550 "," 2,576 ","2,548", 51 , 52 , 53 , 52 , 52 ," 102,749,098 "," 107,850,916 "," 108,077,766 "," 106,967,448 ","112,315,144"," 32,227 "," 33,419 "," 32,773 "," 33,502 ","36,093"," 40,969 "," 42,815 "," 42,383 "," 41,525 ","44,080",,,,,,,,,
108051168,Old Bar - Manning Point - Red Head," 5,283 "," 5,419 "," 5,661 "," 5,901 ","6,093", 51 , 51 , 51 , 51 , 50 ," 248,852,285 "," 254,588,842 "," 273,072,055 "," 289,585,625 ","302,911,335"," 37,343 "," 37,206 "," 38,260 "," 39,677 ","40,337"," 47,104 "," 46,981 "," 48,237 "," 49,074 ","49,715",,,,,,,,,
108051169,Taree," 8,614 "," 8,708 "," 8,710 "," 8,839 ","8,946", 47 , 47 , 47 , 47 , 46 ," 376,258,691 "," 390,855,250 "," 399,150,343 "," 411,778,689 ","429,085,489"," 37,180 "," 38,496 "," 39,439 "," 40,562 ","41,882"," 43,680 "," 44,885 "," 45,827 "," 46,587 ","47,964",,,,,,,,,
108051170,Taree Region," 5,790 "," 5,947 "," 6,142 "," 6,263 ","6,359", 52 , 52 , 53 , 53 , 52 ," 231,105,138 "," 242,929,078 "," 254,003,391 "," 261,171,863 ","270,153,188"," 31,509 "," 33,427 "," 33,477 "," 33,260 ","34,853"," 39,915 "," 40,849 "," 41,355 "," 41,701 ","42,484",,,,,,,,,
108051171,Wingham," 2,525 "," 2,492 "," 2,501 "," 2,525 ","2,613", 47 , 48 , 48 , 48 , 47 ," 105,468,079 "," 108,183,218 "," 109,711,761 "," 116,208,095 ","122,577,571"," 37,950 "," 39,666 "," 40,275 "," 41,522 ","43,594"," 41,770 "," 43,412 "," 43,867 "," 46,023 ","46,911",,,,,,,,,
109011172,Albury - East," 8,302 "," 8,791 "," 9,040 "," 9,405 ","9,783", 42 , 41 , 42 , 42 , 41 ," 481,098,485 "," 504,195,171 "," 531,959,558 "," 573,159,032 ","611,458,296"," 48,668 "," 48,936 "," 50,815 "," 52,179 ","54,512"," 57,950 "," 57,354 "," 58,845 "," 60,942 ","62,502",,,,,,,,,
109011173,Albury - North," 5,116 "," 5,237 "," 5,312 "," 5,480 ","5,580", 42 , 42 , 43 , 43 , 43 ," 244,214,579 "," 257,912,202 "," 265,627,549 "," 283,440,689 ","294,749,518"," 42,191 "," 43,100 "," 44,160 "," 45,562 ","47,292"," 47,735 "," 49,248 "," 50,005 "," 51,723 ","52,822",,,,,,,,,
109011174,Albury - South," 6,505 "," 6,552 "," 6,404 "," 6,447 ","6,327", 47 , 47 , 47 , 47 , 48 ," 396,275,503 "," 405,769,322 "," 399,060,952 "," 402,960,639 ","409,281,549"," 46,296 "," 47,377 "," 48,013 "," 49,689 ","50,903"," 60,919 "," 61,931 "," 62,314 "," 62,504 ","64,688",,,,,,,,,
109011175,Albury Region," 6,639 "," 6,470 "," 6,966 "," 7,045 ","7,017", 48 , 48 , 48 , 48 , 48 ," 351,820,325 "," 347,306,921 "," 371,844,650 "," 385,628,896 ","377,117,189"," 42,621 "," 43,371 "," 44,263 "," 44,927 ","45,952"," 52,993 "," 53,680 "," 53,380 "," 54,738 ","53,743",,,,,,,,,
109011176,Lavington," 7,306 "," 7,318 "," 7,417 "," 7,567 ","7,727", 43 , 43 , 43 , 43 , 42 ," 329,065,519 "," 335,689,560 "," 343,800,378 "," 356,857,264 ","372,341,392"," 41,084 "," 41,725 "," 42,042 "," 43,328 ","44,483"," 45,040 "," 45,872 "," 46,353 "," 47,160 ","48,187",,,,,,,,,
109021177,Hay," 1,777 "," 1,759 "," 1,757 "," 1,709 ","1,690", 47 , 47 , 47 , 47 , 48 ," 85,573,634 "," 83,813,118 "," 88,684,181 "," 91,230,351 ","82,578,390"," 39,424 "," 39,530 "," 42,379 "," 44,833 ","44,329"," 48,156 "," 47,648 "," 50,475 "," 53,382 ","48,863",,,,,,,,,
109021178,Wentworth - Buronga," 2,943 "," 2,652 "," 3,005 "," 3,130 ","3,191", 48 , 46 , 47 , 46 , 46 ," 138,737,375 "," 129,687,041 "," 160,060,741 "," 170,221,740 ","181,934,020"," 38,742 "," 39,473 "," 41,977 "," 43,639 ","45,191"," 47,141 "," 48,902 "," 53,265 "," 54,384 ","57,015",,,,,,,,,
109021179,Wentworth-Balranald Region," 1,705 "," 1,723 "," 1,802 "," 1,804 ","1,896", 46 , 46 , 46 , 46 , 46 ," 82,622,768 "," 87,254,935 "," 98,416,875 "," 99,078,005 ","93,577,124"," 40,284 "," 40,329 "," 43,513 "," 45,524 ","43,450"," 48,459 "," 50,641 "," 54,615 "," 54,921 ","49,355",,,,,,,,,
109031180,Corowa," 3,287 "," 3,240 "," 3,180 "," 3,203 ","3,176", 48 , 49 , 49 , 50 , 49 ," 157,327,178 "," 157,343,820 "," 152,800,885 "," 155,207,581 ","156,636,237"," 40,459 "," 40,378 "," 41,967 "," 43,275 ","44,795"," 47,863 "," 48,563 "," 48,051 "," 48,457 ","49,319",,,,,,,,,
109031181,Corowa Region," 3,635 "," 3,649 "," 3,773 "," 3,763 ","3,838", 49 , 48 , 48 , 49 , 48 ," 181,246,137 "," 184,022,005 "," 176,529,332 "," 183,502,253 ","186,233,344"," 41,046 "," 41,676 "," 40,060 "," 42,112 ","43,234"," 49,861 "," 50,431 "," 46,788 "," 48,765 ","48,524",,,,,,,,,
109031182,Deniliquin," 4,863 "," 4,071 "," 4,524 "," 4,378 ","4,312", 47 , 47 , 48 , 48 , 48 ," 238,484,035 "," 190,846,229 "," 217,415,772 "," 220,129,145 ","219,539,451"," 41,247 "," 41,287 "," 41,808 "," 44,503 ","45,732"," 49,041 "," 46,879 "," 48,058 "," 50,281 ","50,914",,,,,,,,,
109031183,Deniliquin Region," 3,004 "," 2,951 "," 3,090 "," 3,345 ","3,348", 49 , 49 , 50 , 50 , 49 ," 136,945,595 "," 120,526,250 "," 142,259,909 "," 162,110,997 ","152,354,303"," 36,020 "," 34,781 "," 35,987 "," 38,537 ","37,000"," 45,588 "," 40,843 "," 46,039 "," 48,464 ","45,506",,,,,,,,,
109031184,Moama," 3,095 "," 3,026 "," 3,260 "," 3,333 ","3,419", 46 , 46 , 46 , 46 , 46 ," 159,081,052 "," 158,025,559 "," 174,873,068 "," 186,597,850 ","196,808,162"," 42,111 "," 43,425 "," 43,607 "," 46,176 ","48,032"," 51,399 "," 52,223 "," 53,642 "," 55,985 ","57,563",,,,,,,,,
109031185,Tocumwal - Finley - Jerilderie," 5,301 "," 5,262 "," 5,231 "," 5,299 ","5,234", 49 , 48 , 48 , 48 , 48 ," 250,828,541 "," 251,055,138 "," 244,468,708 "," 251,651,568 ","253,872,133"," 38,537 "," 38,409 "," 38,652 "," 40,121 ","41,939"," 47,317 "," 47,711 "," 46,735 "," 47,490 ","48,504",,,,,,,,,
110011186,Armidale," 12,135 "," 12,300 "," 12,371 "," 12,686 ","12,714", 45 , 44 , 44 , 43 , 43 ," 620,800,215 "," 638,174,404 "," 646,870,187 "," 681,925,448 ","709,890,172"," 41,403 "," 41,897 "," 42,158 "," 43,678 ","46,003"," 51,158 "," 51,884 "," 52,289 "," 53,754 ","55,835",,,,,,,,,
110011187,Armidale Region - North," 2,330 "," 2,359 "," 2,467 "," 2,461 ","2,498", 48 , 48 , 47 , 47 , 47 ," 92,788,708 "," 103,476,222 "," 111,776,625 "," 113,582,357 ","106,110,659"," 33,848 "," 36,934 "," 37,139 "," 36,982 ","36,097"," 39,823 "," 43,864 "," 45,309 "," 46,153 ","42,478",,,,,,,,,
110011188,Armidale Region - South," 3,297 "," 3,247 "," 3,317 "," 3,411 ","3,425", 48 , 48 , 48 , 48 , 48 ," 148,165,774 "," 152,536,817 "," 161,946,158 "," 170,723,675 ","167,736,569"," 38,214 "," 40,233 "," 41,048 "," 41,319 ","42,188"," 44,940 "," 46,978 "," 48,823 "," 50,051 ","48,974",,,,,,,,,
110011189,Walcha," 1,942 "," 1,860 "," 1,913 "," 1,908 ","1,885", 50 , 51 , 51 , 51 , 52 ," 81,479,577 "," 89,663,377 "," 89,296,647 "," 90,806,814 ","81,108,958"," 35,927 "," 38,695 "," 38,587 "," 39,680 ","38,174"," 41,957 "," 48,206 "," 46,679 "," 47,593 ","43,029",,,,,,,,,
110021190,Glen Innes," 4,235 "," 4,153 "," 4,229 "," 4,251 ","4,222", 50 , 49 , 49 , 49 , 49 ," 157,167,766 "," 170,941,139 "," 177,672,324 "," 182,717,359 ","170,955,493"," 31,262 "," 34,058 "," 35,166 "," 35,574 ","35,216"," 37,112 "," 41,161 "," 42,013 "," 42,982 ","40,492",,,,,,,,,
110021191,Inverell," 5,815 "," 5,923 "," 5,887 "," 5,962 ","5,976", 44 , 44 , 45 , 44 , 44 ," 263,854,910 "," 281,771,895 "," 283,036,861 "," 294,088,597 ","302,768,770"," 40,329 "," 42,013 "," 42,425 "," 43,809 ","44,904"," 45,375 "," 47,572 "," 48,078 "," 49,327 ","50,664",,,,,,,,,
110021192,Inverell Region - East," 2,199 "," 2,190 "," 2,276 "," 2,405 ","2,443", 47 , 47 , 47 , 47 , 48 ," 83,406,209 "," 91,372,165 "," 96,924,800 "," 100,221,141 ","87,003,409"," 33,558 "," 35,009 "," 36,516 "," 36,771 ","34,613"," 37,929 "," 41,722 "," 42,586 "," 41,672 ","35,613",,,,,,,,,
110021193,Inverell Region - West," 2,772 "," 2,753 "," 2,770 "," 2,870 ","2,853", 48 , 48 , 48 , 49 , 49 ," 103,847,951 "," 121,171,911 "," 124,988,130 "," 124,180,301 ","95,961,358"," 32,376 "," 36,857 "," 37,471 "," 37,601 ","30,974"," 37,463 "," 44,014 "," 45,122 "," 43,268 ","33,635",,,,,,,,,
110021194,Tenterfield," 3,030 "," 3,044 "," 3,067 "," 3,113 ","3,163", 52 , 53 , 53 , 54 , 53 ," 105,160,101 "," 108,824,922 "," 112,476,731 "," 111,802,037 ","116,295,224"," 29,081 "," 30,036 "," 29,255 "," 28,976 ","29,591"," 34,706 "," 35,751 "," 36,673 "," 35,915 ","36,767",,,,,,,,,
110031195,Moree," 4,753 "," 4,039 "," 4,670 "," 4,395 ","4,298", 43 , 42 , 43 , 42 , 43 ," 275,351,465 "," 227,237,179 "," 288,102,709 "," 294,734,541 ","254,111,804"," 46,240 "," 47,398 "," 49,311 "," 50,423 ","51,529"," 57,932 "," 56,261 "," 61,692 "," 67,061 ","59,123",,,,,,,,,
110031196,Moree Region," 2,414 "," 2,233 "," 2,575 "," 2,821 ","2,688", 44 , 44 , 42 , 43 , 43 ," 119,082,862 "," 181,945,158 "," 201,087,591 "," 154,939,331 ","103,313,716"," 41,024 "," 49,709 "," 51,751 "," 46,614 ","42,150"," 49,330 "," 81,480 "," 78,092 "," 54,924 ","38,435",,,,,,,,,
110031197,Narrabri," 4,097 "," 3,687 "," 4,060 "," 4,017 ","4,031", 45 , 43 , 44 , 44 , 43 ," 223,891,259 "," 205,786,768 "," 237,313,849 "," 238,195,406 ","236,459,789"," 44,750 "," 46,581 "," 47,654 "," 49,906 ","50,503"," 54,648 "," 55,814 "," 58,452 "," 59,297 ","58,660",,,,,,,,,
110031198,Narrabri Region," 2,497 "," 2,291 "," 2,420 "," 2,656 ","2,617", 46 , 46 , 46 , 46 , 47 ," 119,901,194 "," 119,714,549 "," 132,237,002 "," 136,864,282 ","113,739,317"," 37,779 "," 42,684 "," 44,629 "," 43,821 ","40,998"," 48,018 "," 52,254 "," 54,643 "," 51,530 ","43,462",,,,,,,,,
110041199,Gunnedah," 4,864 "," 4,534 "," 4,936 "," 4,997 ","4,998", 43 , 41 , 42 , 41 , 41 ," 274,123,845 "," 267,886,374 "," 298,062,358 "," 318,649,625 ","324,724,473"," 44,700 "," 46,380 "," 48,927 "," 50,652 ","52,844"," 56,358 "," 59,084 "," 60,385 "," 63,768 ","64,971",,,,,,,,,
110041200,Gunnedah Region," 2,190 "," 2,149 "," 2,287 "," 2,373 ","2,348", 45 , 45 , 45 , 45 , 46 ," 116,220,572 "," 117,961,191 "," 126,712,209 "," 131,248,068 ","108,803,740"," 42,139 "," 43,136 "," 42,443 "," 43,510 ","40,746"," 53,069 "," 54,891 "," 55,405 "," 55,309 ","46,339",,,,,,,,,
110041201,Quirindi," 3,933 "," 3,827 "," 3,885 "," 3,932 ","3,870", 48 , 48 , 48 , 48 , 48 ," 182,715,661 "," 189,733,411 "," 195,449,560 "," 203,077,598 ","169,586,658"," 38,218 "," 40,571 "," 41,585 "," 42,437 ","40,224"," 46,457 "," 49,578 "," 50,309 "," 51,647 ","43,821",,,,,,,,,
110041202,Tamworth - East," 10,849 "," 10,852 "," 11,130 "," 11,359 ","11,568", 43 , 43 , 42 , 42 , 42 ," 531,880,808 "," 549,958,500 "," 569,543,939 "," 606,493,749 ","628,814,252"," 43,293 "," 44,124 "," 45,465 "," 47,567 ","48,796"," 49,026 "," 50,678 "," 51,172 "," 53,393 ","54,358",,,,,,,,,
110041203,Tamworth - North," 7,993 "," 8,390 "," 8,679 "," 8,975 ","9,267", 43 , 43 , 43 , 42 , 41 ," 444,536,596 "," 482,149,989 "," 500,976,097 "," 531,652,254 ","556,820,185"," 46,668 "," 47,765 "," 48,866 "," 50,237 ","51,476"," 55,616 "," 57,467 "," 57,723 "," 59,237 ","60,086",,,,,,,,,
110041204,Tamworth - West," 2,423 "," 2,399 "," 2,614 "," 2,634 ","2,672", 37 , 37 , 37 , 37 , 37 ," 105,399,385 "," 107,380,413 "," 118,598,684 "," 123,505,049 ","127,433,482"," 41,926 "," 42,814 "," 43,622 "," 45,023 ","46,972"," 43,500 "," 44,760 "," 45,371 "," 46,889 ","47,692",,,,,,,,,
110041205,Tamworth Region," 9,887 "," 9,864 "," 10,353 "," 10,558 ","10,646", 47 , 47 , 47 , 47 , 47 ," 477,503,144 "," 496,481,297 "," 530,704,820 "," 547,641,541 ","528,493,249"," 41,244 "," 43,185 "," 43,484 "," 44,773 ","44,459"," 48,296 "," 50,333 "," 51,261 "," 51,870 ","49,642",,,,,,,,,
111011206,Belmont - Bennetts Green," 9,526 "," 9,651 "," 9,778 "," 9,878 ","10,061", 45 , 45 , 45 , 45 , 45 ," 552,533,344 "," 568,480,147 "," 580,546,235 "," 609,643,033 ","627,564,409"," 45,520 "," 46,891 "," 47,057 "," 49,179 ","50,680"," 58,003 "," 58,904 "," 59,373 "," 61,717 ","62,376",,,,,,,,,
111011207,Belmont South - Blacksmiths," 2,789 "," 2,807 "," 2,894 "," 2,964 ","2,999", 46 , 47 , 47 , 47 , 48 ," 146,479,837 "," 149,479,362 "," 154,868,747 "," 161,678,140 ","169,388,502"," 42,490 "," 43,153 "," 43,849 "," 45,189 ","47,739"," 52,521 "," 53,252 "," 53,514 "," 54,547 ","56,482",,,,,,,,,
111011208,Charlestown - Dudley," 13,675 "," 13,846 "," 14,014 "," 14,195 ","14,494", 42 , 42 , 42 , 42 , 42 ," 800,565,230 "," 825,334,946 "," 842,838,860 "," 883,038,752 ","937,159,465"," 47,714 "," 48,793 "," 49,328 "," 51,842 ","54,171"," 58,542 "," 59,608 "," 60,143 "," 62,208 ","64,658",,,,,,,,,
111011209,Glendale - Cardiff - Hillsborough," 12,940 "," 13,081 "," 13,288 "," 13,578 ","13,843", 42 , 42 , 42 , 42 , 41 ," 744,684,338 "," 769,633,452 "," 783,230,510 "," 817,920,171 ","868,204,174"," 48,815 "," 49,922 "," 50,364 "," 52,249 ","54,229"," 57,549 "," 58,836 "," 58,943 "," 60,239 ","62,718",,,,,,,,,
111011210,Mount Hutton - Windale," 3,817 "," 3,887 "," 4,016 "," 4,126 ","4,258", 43 , 42 , 43 , 43 , 42 ," 196,788,020 "," 205,259,475 "," 209,386,695 "," 223,281,637 ","235,030,284"," 43,823 "," 44,924 "," 45,230 "," 47,610 ","48,824"," 51,556 "," 52,807 "," 52,138 "," 54,116 ","55,197",,,,,,,,,
111011211,Redhead," 1,908 "," 1,952 "," 1,982 "," 1,978 ","1,999", 46 , 46 , 46 , 47 , 47 ," 125,775,658 "," 132,969,963 "," 136,623,443 "," 143,144,966 ","155,773,129"," 49,496 "," 50,459 "," 51,342 "," 52,590 ","56,270"," 65,920 "," 68,120 "," 68,932 "," 72,369 ","77,926",,,,,,,,,
111011212,Swansea - Caves Beach," 5,826 "," 5,954 "," 6,032 "," 6,237 ","6,469", 47 , 47 , 47 , 48 , 47 ," 323,566,636 "," 337,174,277 "," 343,225,174 "," 369,552,871 ","394,742,005"," 42,791 "," 44,415 "," 44,583 "," 46,664 ","48,684"," 55,538 "," 56,630 "," 56,901 "," 59,252 ","61,021",,,,,,,,,
111011213,Valentine - Eleebana," 7,586 "," 7,583 "," 7,641 "," 7,800 ","7,707", 48 , 48 , 48 , 48 , 48 ," 508,712,354 "," 510,006,066 "," 512,951,039 "," 534,929,330 ","546,838,576"," 49,652 "," 50,318 "," 51,319 "," 51,894 ","54,385"," 67,059 "," 67,257 "," 67,131 "," 68,581 ","70,953",,,,,,,,,
111011214,Warners Bay - Boolaroo," 7,624 "," 7,789 "," 7,871 "," 8,105 ","8,304", 46 , 46 , 46 , 46 , 46 ," 448,671,301 "," 470,516,112 "," 479,251,531 "," 509,584,321 ","544,744,799"," 46,443 "," 47,986 "," 49,042 "," 51,166 ","53,253"," 58,850 "," 60,408 "," 60,888 "," 62,873 ","65,600",,,,,,,,,
111021215,Bolton Point - Teralba," 4,197 "," 4,328 "," 4,368 "," 4,579 ","4,792", 45 , 45 , 45 , 45 , 45 ," 214,899,454 "," 224,090,132 "," 229,410,715 "," 247,532,262 ","267,724,693"," 43,662 "," 44,215 "," 45,530 "," 47,805 ","49,422"," 51,203 "," 51,777 "," 52,521 "," 54,058 ","55,869",,,,,,,,,
111021216,Bonnells Bay - Silverwater," 4,515 "," 4,615 "," 4,862 "," 4,979 ","5,020", 46 , 46 , 46 , 46 , 46 ," 231,434,894 "," 241,954,372 "," 258,426,380 "," 272,401,537 ","281,474,726"," 41,640 "," 42,974 "," 43,763 "," 45,715 ","47,755"," 51,259 "," 52,428 "," 53,152 "," 54,710 ","56,071",,,,,,,,,
111021217,Edgeworth - Cameron Park," 7,042 "," 7,531 "," 7,816 "," 8,049 ","8,442", 40 , 39 , 39 , 39 , 39 ," 401,742,482 "," 439,085,192 "," 463,630,817 "," 489,828,721 ","532,125,175"," 49,999 "," 51,413 "," 52,672 "," 54,017 ","56,125"," 57,049 "," 58,304 "," 59,318 "," 60,856 ","63,033",,,,,,,,,
111021218,Morisset - Cooranbong," 7,225 "," 7,409 "," 7,932 "," 8,214 ","8,486", 46 , 46 , 46 , 45 , 45 ," 368,159,857 "," 383,027,072 "," 415,215,635 "," 441,445,316 ","467,423,682"," 41,002 "," 41,711 "," 42,772 "," 44,576 ","46,012"," 50,956 "," 51,698 "," 52,347 "," 53,743 ","55,082",,,,,,,,,
111021219,Toronto - Awaba," 7,003 "," 7,015 "," 7,174 "," 7,373 ","7,539", 48 , 47 , 48 , 47 , 48 ," 399,273,224 "," 413,972,994 "," 432,859,823 "," 440,925,802 ","457,506,517"," 43,357 "," 44,188 "," 44,610 "," 45,561 ","47,480"," 57,015 "," 59,013 "," 60,337 "," 59,803 ","60,685",,,,,,,,,
111021220,Wangi Wangi - Rathmines," 5,075 "," 5,090 "," 5,146 "," 5,309 ","5,327", 49 , 50 , 49 , 49 , 49 ," 290,676,645 "," 290,867,264 "," 292,431,177 "," 313,022,587 ","327,236,524"," 44,650 "," 45,171 "," 44,338 "," 46,843 ","48,308"," 57,276 "," 57,145 "," 56,827 "," 58,961 ","61,430",,,,,,,,,
111021221,West Wallsend - Barnsley - Killingworth," 3,460 "," 3,541 "," 3,709 "," 3,891 ","4,053", 42 , 41 , 42 , 41 , 41 ," 183,117,057 "," 189,976,302 "," 202,230,109 "," 219,722,571 ","236,073,340"," 46,551 "," 48,402 "," 49,487 "," 51,595 ","52,975"," 52,924 "," 53,650 "," 54,524 "," 56,469 ","58,247",,,,,,,,,
111031222,Adamstown - Kotara," 9,162 "," 9,260 "," 9,393 "," 9,553 ","9,745", 43 , 43 , 43 , 43 , 42 ," 544,351,272 "," 559,786,365 "," 579,823,284 "," 608,966,060 ","651,713,798"," 49,472 "," 50,615 "," 51,133 "," 53,204 ","56,850"," 59,414 "," 60,452 "," 61,729 "," 63,746 ","66,877",,,,,,,,,
111031223,Beresfield - Hexham," 3,939 "," 4,103 "," 4,113 "," 4,260 ","4,384", 43 , 42 , 42 , 41 , 41 ," 188,151,431 "," 197,495,463 "," 197,723,992 "," 211,510,226 ","230,178,405"," 42,674 "," 42,000 "," 42,320 "," 45,233 ","47,348"," 47,766 "," 48,134 "," 48,073 "," 49,650 ","52,504",,,,,,,,,
111031224,Hamilton - Broadmeadow," 6,640 "," 6,727 "," 6,923 "," 7,133 ","7,311", 42 , 42 , 42 , 42 , 42 ," 433,139,083 "," 442,879,440 "," 463,932,664 "," 494,071,226 ","515,665,507"," 49,329 "," 49,963 "," 51,184 "," 52,935 ","54,307"," 65,232 "," 65,836 "," 67,013 "," 69,266 ","70,533",,,,,,,,,
111031225,Lambton - New Lambton," 9,488 "," 9,629 "," 9,829 "," 10,023 ","10,094", 43 , 44 , 44 , 44 , 44 ," 615,212,154 "," 646,949,020 "," 667,682,623 "," 702,743,802 ","731,783,276"," 52,000 "," 54,253 "," 54,256 "," 56,327 ","58,579"," 64,841 "," 67,188 "," 67,930 "," 70,113 ","72,497",,,,,,,,,
111031226,Maryland - Fletcher - Minmi," 7,254 "," 7,485 "," 8,094 "," 8,479 ","8,774", 40 , 41 , 40 , 40 , 40 ," 436,347,440 "," 457,053,731 "," 492,075,945 "," 532,757,236 ","562,125,109"," 51,748 "," 52,655 "," 52,851 "," 55,258 ","56,110"," 60,153 "," 61,063 "," 60,795 "," 62,833 ","64,067",,,,,,,,,
111031227,Mayfield - Warabrook," 7,752 "," 7,788 "," 8,113 "," 8,250 ","8,480", 38 , 38 , 38 , 38 , 38 ," 407,646,357 "," 419,844,416 "," 440,795,557 "," 464,666,572 ","500,443,165"," 47,125 "," 47,869 "," 48,374 "," 50,429 ","52,794"," 52,586 "," 53,909 "," 54,332 "," 56,323 ","59,015",,,,,,,,,
