address,price,beds,baths,parking,propertyTypeFormatted
RICHMOND 2/2 Smith Street VIC 3121,$300 per week,1,1,1,Apartment / Unit / Flat
SOUTH YARRA 9/63 Millswyn Street VIC 3141,$495 per week,2,1,1,Apartment / Unit / Flat
GLEN IRIS 310/770B Toorak Road Road VIC 3146,380 Per week,1,1,1,Apartment / Unit / Flat
BOX HILL 3/1 John Street VIC 3128,$420 pw,2,1,1,Apartment / Unit / Flat
BALWYN 4/84 Rochester Rd VIC 3103,$480.00,2,1,1,Apartment / Unit / Flat
CAULFIELD NORTH 8/62 Hawthorn Road VIC 3161,$600.00,2,2,2,Apartment / Unit / Flat
BURWOOD 108/326-328 Burwood Highway VIC 3125,$500.00,2,1,1,Apartment / Unit / Flat
HUGHESDALE 1/30 Swindon Road VIC 3166,$420,2,1,1,Apartment / Unit / Flat
GLEN IRIS 3/76 Glen Iris Road VIC 3146,$415 pw,2,1,2,Apartment / Unit / Flat
SOUTH MELBOURNE 1/333 Coventry Street VIC 3205,$550 weekly,2,1,1,Apartment / Unit / Flat
MELBOURNE 1507/12 Queens Rd VIC 3004,$700.00,2,2,1,Apartment / Unit / Flat
MELBOURNE 3002/288 Spencer St VIC 3000,$510,2,1,1,Apartment / Unit / Flat
address,price,beds,baths,parking,propertyTypeFormatted
ELSTERNWICK 806/18 McCombie St VIC 3185,$520 per week,2,2,1,Apartment / Unit / Flat
OAKLEIGH 109/6 Dalgety Street VIC 3166,$500,1,1,1,Apartment / Unit / Flat
MURRUMBEENA 4/15 Howe Street VIC 3163,$290 weekly,1,1,1,Apartment / Unit / Flat
RICHMOND 6/137 Coppin Street VIC 3121,$360 Per Week,1,1,0,Apartment / Unit / Flat
FOOTSCRAY 2308/6 Joseph Road VIC 3011,$400 per week,1,1,1,Apartment / Unit / Flat
BRUNSWICK EAST 2005/178 Edward Street VIC 3057,$550 per week,2,1,1,Apartment / Unit / Flat
HAMPTON G05/18 Railway Crescent VIC 3188,$750.00,2,2,1,Apartment / Unit / Flat
ELWOOD 6/30 Docker Street VIC 3184,$470 per week,1,1,1,Apartment / Unit / Flat
ST KILDA 1/38 Alma Rd VIC 3182,$450 weekly,2,1,0,Apartment / Unit / Flat
SOUTHBANK 705/26 Southgate Avenue VIC 3006,$530 per week,1,1,1,Apartment / Unit / Flat
MELBOURNE 1605/565 Flinders Street VIC 3000,$500 per week,2,2,1,Apartment / Unit / Flat
RICHMOND 126/243-249A Bridge Road VIC 3121,$400 per week,1,1,1,Apartment / Unit / Flat
SOUTH YARRA 10/2 Lawson Grove VIC 3141,$415 Per Week,1,1,0,Apartment / Unit / Flat
RICHMOND 17/81 Edinburgh Street VIC 3121,$300 per week,1,1,1,Apartment / Unit / Flat
BRUNSWICK 9/67 Blyth St VIC 3056,$490 weekly,2,1,1,Apartment / Unit / Flat
WINDSOR 16/174 Peel Street VIC 3181,$385.00,1,1,1,Apartment / Unit / Flat
FITZROY 107/176 Argyle Street VIC 3065,$450.00,1,1,0,Apartment / Unit / Flat
ABBOTSFORD 9/328 Johnston Street VIC 3067,$600.00,2,1,1,Apartment / Unit / Flat
BRUNSWICK 2/6 Millward Street VIC 3056,$390 per week,2,1,1,Apartment / Unit / Flat
RICHMOND 209/8 Garfield Street VIC 3121,$450 per week,1,1,1,Apartment / Unit / Flat
address,price,beds,baths,parking,propertyTypeFormatted
MELBOURNE 2108/288 Spencer Street VIC 3000,$350,1,1,0,Apartment / Unit / Flat
SOUTH YARRA 402/20 Garden Street VIC 3141,$350 per week,1,1,0,Apartment / Unit / Flat
FOOTSCRAY 2003/8 Joseph Road VIC 3011,$520 per week,2,2,1,Apartment / Unit / Flat
SOUTH MELBOURNE 1009/338 Kings Way VIC 3205,$500 pw,2,1,2,Apartment / Unit / Flat
TOORAK 11/8 Lamin Lane VIC 3142,$465 Per Week,1,1,1,Apartment / Unit / Flat
PRAHRAN 306/25 Clifton Street VIC 3181,$425 Per Week,2,1,0,Apartment / Unit / Flat
BRUNSWICK WEST 4/2 Waxman Parade VIC 3055,$380.00,2,1,1,Apartment / Unit / Flat
WINDSOR 12/28 The Avenue VIC 3181,$550.00,2,1,1,Apartment / Unit / Flat
PASCOE VALE 4/7 Vale Street VIC 3044,$375.00,2,1,1,Apartment / Unit / Flat
RICHMOND 616/14 David Street VIC 3121,$550 Per Week,2,1,1,Apartment / Unit / Flat
BOX HILL NORTH 75A Watts Street VIC 3129,$440 per week,2,1,1,Apartment / Unit / Flat
PRAHRAN 310/22 Chatham Street VIC 3181,$450 per week,1,1,1,Apartment / Unit / Flat
PORT MELBOURNE 701/57 Bay Street VIC 3207,$750 per week,2,1,2,Apartment / Unit / Flat
MIDDLE PARK 8/49 Patterson Street VIC 3206,$490 per week,2,1,1,Apartment / Unit / Flat
HAWTHORN G.04/567 Glenferrie Road VIC 3122,$430 per week,1,1,1,Apartment / Unit / Flat
ELSTERNWICK 103/5-7 Nepean Highway VIC 3185,$500,2,2,1,Apartment / Unit / Flat
SOUTH MELBOURNE 203/333 Ferrars Street VIC 3205,$650.00,2,2,1,Apartment / Unit / Flat
MURRUMBEENA 6/19 Sydney Street VIC 3163,$300 weekly,1,1,1,Apartment / Unit / Flat
KEW 14/58-62 Mary Street VIC 3101,$470.00,2,1,1,Apartment / Unit / Flat
MELBOURNE 612/408 Lonsdale Street VIC 3000,$350,1,1,0,Apartment / Unit / Flat
address,price,beds,baths,parking,propertyTypeFormatted
HAWTHORN 11/64 Auburn Rd VIC 3122,$350 weekly,1,1,1,Apartment / Unit / Flat
ST KILDA 2c/21 The Esplanade VIC 3182,$395,1,1,1,Studio
HAWTHORN 7/165 Power Street VIC 3122,"$350pw/$1,521pcm",1,1,1,Apartment / Unit / Flat
DONCASTER 2/11 Firth Street VIC 3108,$360.00,2,1,1,Apartment / Unit / Flat
MELBOURNE 902/133 Russell St VIC 3004,$650.00,1,1,0,Apartment / Unit / Flat
FITZROY NORTH 5/55 May Street VIC 3068,$350 per week,2,1,1,Apartment / Unit / Flat
BRIGHTON 1/128 Male Street VIC 3186,$525.00,2,1,1,Apartment / Unit / Flat
NORTHCOTE 2/3 Jessie Street VIC 3070,$375.00,2,1,1,Apartment / Unit / Flat
BALWYN 5/19 Kireep Road VIC 3103,$400 per week,2,1,1,Apartment / Unit / Flat
TOORAK 15/21 Tintern Avenue VIC 3142,$520.00 per week,2,1,1,Apartment / Unit / Flat
CARNEGIE 2/44 Rosstown Road VIC 3163,$545.00,3,1,1,Apartment / Unit / Flat
ELSTERNWICK 3/24 Elster Avenue VIC 3185,$450 per week,2,1,1,Apartment / Unit / Flat
EDITHVALE 5/8-10 Turakina Avenue VIC 3196,$350.00,1,1,1,Apartment / Unit / Flat
ST KILDA 5/9 Marlton Crescent VIC 3182,$520 weekly,2,1,0,Apartment / Unit / Flat
GLEN HUNTLY 3/22 Roseberry Grove VIC 3163,$335 per week,2,1,1,Apartment / Unit / Flat
GLEN IRIS 10/304 Tooronga Road VIC 3146,$350.00,2,1,1,Apartment / Unit / Flat
MURRUMBEENA 8/24 Melbourne Street VIC 3163,$270 weekly,1,1,1,Apartment / Unit / Flat
PRAHRAN 4/34 Clarke Street VIC 3181,$360 per week,1,1,1,Apartment / Unit / Flat
ST KILDA EAST 3/206 Alma Rd VIC 3183,$250 weekly,1,1,0,Apartment / Unit / Flat
PRAHRAN 510/42 Porter Street VIC 3181,$260 per week,1,1,0,Apartment / Unit / Flat
address,price,beds,baths,parking,propertyTypeFormatted
CAMBERWELL 3/9 Eddy Street VIC 3124,"$470pw/$2,042pcm",2,1,1,Apartment / Unit / Flat
SOUTHBANK 3402/61 Haig Street VIC 3006,$395,1,1,0,Apartment / Unit / Flat
ST KILDA EAST 12/7 Raglan Street VIC 3183,$290 per week,1,1,0,Apartment / Unit / Flat
MELBOURNE 309/77 Queens Road VIC 3004,$430,1,1,1,Apartment / Unit / Flat
BRUNSWICK 805/288 Albert Street VIC 3056,$450.00,2,1,1,Apartment / Unit / Flat
HAWTHORN 6/146 Riversdale Road VIC 3122,$445.00,2,1,1,Apartment / Unit / Flat
ALPHINGTON 12/1 Rex Avenue VIC 3078,$460.00,2,1,1,Apartment / Unit / Flat
CARNEGIE 5/20 Anzac Street VIC 3163,$320 per week,1,1,1,Apartment / Unit / Flat
PRAHRAN 2/227 Chapel Street VIC 3181,$430.00,2,1,0,Apartment / Unit / Flat
ST KILDA EAST 6/23 Lansdowne Rd VIC 3183,$350 weekly,2,1,1,Apartment / Unit / Flat
BRUNSWICK 208/5 Union Street VIC 3056,$550.00,2,1,1,Apartment / Unit / Flat
MIDDLE PARK 1/262 Beaconsfield Parade VIC 3206,$500 Per Week,2,1,1,Apartment / Unit / Flat
SOUTHBANK 1306/285 City Road VIC 3006,$500 per week,2,1,1,Apartment / Unit / Flat
OAKLEIGH 16/30 Swindon Road VIC 3166,$570,3,2,2,Apartment / Unit / Flat
EAST MELBOURNE Unit 13P/189 Powlett St VIC 3002,$600 per week,2,2,1,Apartment / Unit / Flat
PORT MELBOURNE 112/1 Danks Street VIC 3207,$525 per week,2,1,1,Apartment / Unit / Flat
HIGHETT 2/15 Karen Street VIC 3190,$390.00,2,1,2,Apartment / Unit / Flat
ST KILDA WEST 30/233-235 Canterbury Road VIC 3182,$310 per week,1,1,1,Apartment / Unit / Flat
NORTH MELBOURNE 310/350 Victoria Street VIC 3051,$445 per week,2,1,1,Apartment / Unit / Flat
MELBOURNE 1505/250 Elizabeth Street VIC 3000,$520.00 per week,2,1,0,Apartment / Unit / Flat
address,price,beds,baths,parking,propertyTypeFormatted
