SA2 name,2016pr,2017pr,Natural increase,Net internal migration,Net overseas migration,2016-2017%,2016-2017no.,km2,Population density 2017 persons/km2
Romsey,9668,9874,87,95,24,2.1,206,624.7,15.8
Coburg North,8095,8390,61,98,136,3.6,295,4.9,1720.0
Fawkner,14558,14846,138,-199,349,2.0,288,5.1,2919.7
Pascoe Vale,24631,25424,212,127,454,3.2,793,7.0,3640.1
Glenroy,23354,24035,211,-190,660,2.9,681,8.9,2713.3
Gowanbrae,3056,3107,33,1,17,1.7,51,1.5,2040.7
Hadfield,5893,5967,47,-29,56,1.3,74,3.1,1956.3
Sunbury,13272,13340,64,-42,46,0.5,68,129.5,103.0
Sunbury - South,27706,28463,171,461,125,2.7,757,131.1,217.0
Broadmeadows,14106,14393,151,-285,421,2.0,287,8.8,1630.6
Campbellfield - Coolaroo,17011,17067,176,-418,298,0.3,56,18.2,938.4
Gladstone Park - Westmeadows,18416,18541,106,-119,138,0.7,125,13.9,1330.4
Greenvale - Bulla,17297,18383,191,768,127,6.3,1086,95.9,191.7
Meadow Heights,15986,16032,226,-452,272,0.3,46,4.6,3466.2
Melbourne Airport,212,212,0,0,0,0.0,0,30.4,7.0
Roxburgh Park - Somerton,23136,23834,227,38,433,3.0,698,12.3,1939.3
Tullamarine,6783,6840,65,-99,91,0.8,57,3.9,1772.3
Craigieburn - Central,8758,8842,93,-189,180,1.0,84,4.0,2228.0
Craigieburn - North,12081,12668,196,152,239,4.9,587,13.4,948.8
Craigieburn - South,17051,18303,305,565,382,7.3,1252,11.9,1536.2
Craigieburn - West,14905,16800,391,1006,498,12.7,1895,6.2,2704.5
Mickleham - Yuroke,3554,4807,123,1077,53,35.3,1253,70.6,68.1
Bayswater,12609,12753,94,-96,146,1.1,144,8.0,1585.4
Knoxfield - Scoresby,15742,16287,114,275,156,3.5,545,15.3,1066.9
Lysterfield,6905,6938,27,-18,24,0.5,33,18.5,375.1
Rowville - Central,15969,16015,121,-220,145,0.3,46,8.2,1953.0
Rowville - North,8357,8399,76,-102,68,0.5,42,4.2,2014.7
Rowville - South,11073,11060,71,-169,85,-0.1,-13,9.4,1182.5
Wantirna,14546,14605,52,-176,183,0.4,59,8.3,1758.3
Wantirna South,18610,18693,-7,-173,263,0.4,83,13.4,1399.6
Boronia,22936,23268,146,25,161,1.4,332,11.3,2065.9
Ferntree Gully (North),14382,14450,46,-57,79,0.5,68,7.0,2068.7
Ferntree Gully (South) - Upper Ferntree Gully,15149,15174,72,-126,79,0.2,25,9.1,1658.4
The Basin,4434,4456,48,-39,13,0.5,22,5.7,779.5
Donvale - Park Orchards,16779,16869,4,-27,113,0.5,90,20.8,810.9
Warrandyte - Wonga Park,10647,10681,12,-30,52,0.3,34,45.8,233.4
Bayswater North,12239,12332,36,-6,63,0.8,93,9.9,1244.5
Croydon Hills - Warranwood,18763,18800,120,-177,94,0.2,37,9.5,1980.6
Ringwood,17916,18269,130,-88,311,2.0,353,9.9,1843.4
Ringwood East,21142,21448,140,-124,290,1.4,306,9.4,2283.4
Ringwood North,9956,10028,30,-26,68,0.7,72,4.7,2119.8
Croydon - East,15779,16121,157,24,161,2.2,342,8.1,1990.7
Croydon - West,13837,14194,75,159,123,2.6,357,6.8,2088.0
Croydon South,4892,4934,50,-48,40,0.9,42,2.9,1727.6
Forest Hill,11101,11301,6,-1,195,1.8,200,4.1,2776.5
Mitcham (Vic.),16867,17155,179,-106,215,1.7,288,6.6,2588.6
Nunawading,12464,12749,93,-62,254,2.3,285,5.1,2510.4
Vermont,10932,11075,58,-89,174,1.3,143,4.6,2402.5
Vermont South,12233,12322,-17,-51,157,0.7,89,6.2,1992.6
Belgrave - Selby,10452,10461,79,-122,52,0.1,9,55.7,188.0
Chirnside Park,10276,10657,90,223,68,3.7,381,22.2,480.0
Healesville - Yarra Glen,14172,14369,37,118,42,1.4,197,369.5,38.9
Kilsyth,9498,9607,30,41,38,1.1,109,8.2,1165.5
Lilydale - Coldstream,19420,19602,93,12,77,0.9,182,109.4,179.2
Monbulk - Silvan,5864,5895,42,-40,29,0.5,31,68.6,86.0
Montrose,7094,7146,3,23,26,0.7,52,10.5,677.8
Mooroolbark,22960,23395,217,69,149,1.9,435,12.5,1865.1
Mount Dandenong - Olinda,10204,10222,75,-106,49,0.2,18,81.9,124.8
Mount Evelyn,10048,10139,119,-65,37,0.9,91,17.0,596.8
Upwey - Tecoma,9950,9950,78,-113,35,0.0,0,8.9,1119.1
