station,the_geom,pids,he_loop,lift
Thomastown,POINT (145.01429400000006 -37.680296),Dot Matrix,Yes,Yes
Thornbury,POINT (144.99857600000007 -37.75504799999999),Dot Matrix,No,No
Toorak,POINT (145.01379300000008 -37.85084699999999),Dot Matrix,No,No
Tooronga,POINT (145.04173400000002 -37.849369999999965),No,No,No
Tottenham,POINT (144.86294800000007 -37.79925499999996),No,No,No
Tyabb,POINT (145.186512 -38.25996399999997),No,No,No
Upfield,POINT (144.94674500000008 -37.666075999999975),Dot Matrix,No,No
Upper Ferntree Gully,POINT (145.30747000000008 -37.89264799999995),Dot Matrix,No,No
Upwey,POINT (145.33133500000008 -37.90369199999998),No,No,No
Victoria Park,POINT (144.99440700000002 -37.79938099999998),Dot Matrix,No,No
Watsonia,POINT (145.083389 -37.71137999999996),Dot Matrix,No,No
Wattle Glen,POINT (145.18171400000006 -37.66394199999996),No,No,No
Werribee,POINT (144.66091300000005 -37.89951099999996),Dot Matrix,No,No
West Footscray,POINT (144.88564800000006 -37.801849000000004),Dot Matrix,Yes,Yes
West Richmond,POINT (144.99169600000005 -37.81445599999995),No,No,No
Westall,POINT (145.1388340000001 -37.938492),Dot Matrix,No,Yes
Westgarth,POINT (144.999232 -37.780619),LCD,No,No
Westona,POINT (144.8135010000001 -37.86516599999999),LCD,No,No
Williamstown,POINT (144.90563500000007 -37.86788199999995),Dot Matrix,No,No
Williamstown Beach,POINT (144.894682 -37.86408399999999),No,No,No
Willison,POINT (145.07014000000004 -37.835487),No,No,No
Windsor,POINT (144.99173300000007 -37.85582899999997),Dot Matrix,No,No
Yarraman,POINT (145.19175200000006 -37.97814699999998),No,No,No
Yarraville,POINT (144.88997500000005 -37.81581299999999),LCD,No,No
Coolaroo,POINT (144.92605300000002 -37.661001),Dot Matrix,Yes,Yes
South Morang,POINT (145.06746800000008 -37.64907599999998),Dot Matrix,Yes,Yes
Lynbrook,POINT (145.24939100000006 -38.057331999999974),Dot Matrix,Yes,No
Cardinia Road,POINT (145.438088 -38.071327),Dot Matrix,Yes,No
Williams Landing,POINT (144.74719400000004 -37.87009999999998),Dot Matrix,Yes,Yes
Aircraft,POINT (144.760809 -37.866603),No,No,No
Flemington Racecourse,POINT (144.907196 -37.787585999999976),No,No,No
Showgrounds,POINT (144.914982 -37.783551999999986),No,No,No
Southland,POINT (145.048673 -37.958177999999975),LCD,Yes,Yes
