,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes
91,NORTHCOTE 57 Bent Street VIC 3070,570,2,1,0,House,-37.7667,145.0
92,GLEN WAVERLEY 34 Garrisson Drive VIC 3150,629,3,1,4,House,-37.8788603,145.1761642
93,KEW 90 Edgevale Road VIC 3101,1600,4,2,1,House,-37.8064,145.0309
94,GARDENVALE 53 Elster Avenue VIC 3185,950,3,2,2,House,-37.8984,145.0088
95,ST KILDA 17 Charles Street VIC 3182,650,2,1,2,House,-37.8633,144.9802
96,BURWOOD EAST 617 Highbury Road VIC 3151,700,4,2,5,House,-37.8535,145.1503
97,SOUTH YARRA 3 Barry Street VIC 3141,795,3,1,0,House,-37.8333,144.9833
98,CHADSTONE 2/28 Rae Street VIC 3148,600,3,2,2,House,-37.8833,145.1167
99,BOX HILL SOUTH 43 Neville Street VIC 3128,445,3,1,2,House,-37.8256,145.1232
100,MONT ALBERT NORTH 9 Braemar Street VIC 3129,650,3,1,2,House,-37.8004,145.1083
101,WEST FOOTSCRAY 18 Pitt Street VIC 3012,590,3,2,3,House,-37.8302,144.8709
102,DONCASTER EAST 2 Peter Street VIC 3109,640,5,2,2,House,-37.7795,145.1638
103,COBURG 8 Grey Street VIC 3058,630,5,2,0,House,-37.75,144.9667
104,ASHWOOD 7 Woolert Street VIC 3147,400,2,1,1,House,-37.8626,145.0794
105,CAULFIELD 14 Harcourt Ave VIC 3162,950,3,2,2,House,-37.8914,145.0254
106,THORNBURY 9 Harold Street VIC 3071,905,3,1,1,House,-37.7583,145.0051
107,HEIDELBERG HEIGHTS 562 Waterdale Rd VIC 3081,385,2,1,4,House,-37.7531,145.0385
108,TOORAK 99 Grange Road VIC 3142,2200,5,3,2,House,-37.8416,145.0177
109,RICHMOND 89 Elizabeth Street VIC 3121,425,2,1,0,House,-37.8271,145.0064
110,SOUTH YARRA 19 Balmoral Place VIC 3141,1200,3,3,2,House,-37.8333,144.9833
111,BALWYN NORTH 18 Viewpoint Road VIC 3104,680,3,1,2,House,-37.7909,145.0939
112,WODONGA 6 Batt Avenue VIC 3690,350,3,2,4,House,-36.0997,146.802
113,CARNEGIE 353 Neerim Rd VIC 3163,425,2,1,2,House,-37.8895,145.0581
114,HAWTHORN 101/567 Glenferrie Road VIC 3122,500,2,1,1,House,-37.8199,145.0358
115,MITCHAM 26 Fellows Street VIC 3132,450,3,1,1,House,-37.8182,145.199
116,CAMBERWELL 27 Donna Buang Street VIC 3124,1900,6,4,5,House,-37.8248,145.0705
117,TARNEIT 33 Stratus Street VIC 3029,360,3,2,2,House,-37.8826,144.7003
118,TARNEIT 35 Stratus Street VIC 3029,360,3,2,2,House,-37.8826,144.7003
119,CAULFIELD SOUTH 68 Dover Street VIC 3162,1400,5,3,3,House,-37.8914,145.0254
120,GLEN IRIS 14/1517 Malvern Road VIC 3146,400,2,1,1,House,-37.8599,145.0549
121,BRUNSWICK WEST 3/564C Moreland Road VIC 3055,550,2,2,1,House,-37.7603,144.9502
122,CHELSEA 6 Stayner Street VIC 3196,460,2,1,1,House,-38.0372,145.1097
123,RICHMOND 11 Corsair Street VIC 3121,675,2,1,0,House,-37.8271,145.0064
124,GEELONG WEST 36 McDougall Street VIC 3218,460,2,1,1,House,-38.1343,144.3241
125,NORLANE 83 Waitara Grove VIC 3214,495,4,2,2,House,46.3822,15.3792
126,MALVERN EAST 41 Chadstone Road VIC 3145,950,5,2,3,House,-37.874,145.0425
127,FYANSFORD 11 Maskell Court VIC 3218,480,3,2,1,House,-38.1343,144.3241
128,SPRINGVALE 35 Wareham Street VIC 3171,50,5,3,4,House,-37.9457,145.1581
129,THORNBURY 86 Hutton Street VIC 3071,650,3,1,1,House,-37.7583,145.0051
130,NEWCOMB 5/111 Bellarine Hwy VIC 3219,375,2,1,1,House,-38.1662,144.3943
131,BAYSWATER 2/62 Scoresby Road VIC 3153,520,4,2,2,House,-37.85,145.2667
132,WHEELERS HILL 48 Craig Hill Drive VIC 3150,650,4,2,2,House,-37.8891,145.174
133,BENTLEIGH EAST 19 Valkstone Street VIC 3165,780,3,2,2,House,-37.9201,145.0599
134,SOUTH YARRA 9/4 Davidson Street VIC 3141,525,2,1,2,House,-37.8333,144.9833
135,PORT MELBOURNE 118 Clark Street VIC 3207,800,3,1,0,House,-37.8329,144.922
136,BRUNSWICK 52 Hope Street VIC 3056,850,4,1,2,House,-37.7667,144.9667
137,BRIGHTON 1/20 Kent Avenue VIC 3186,3500,5,4,3,House,-37.9057,145.0067
138,GLEN IRIS 55 Great Valley Road VIC 3146,685,2,1,2,House,-37.8599,145.0549
139,MCKINNON 234 Tucker Road VIC 3204,625,3,1,2,House,46.3375,15.2264
140,MOUNT DUNEED 22 Whites Rd VIC 3217,500,4,2,2,House,-38.2583,144.3083
141,CARLTON NORTH 345 Station Street VIC 3054,650,2,1,0,House,-37.7866,144.9685
142,BALWYN 37 Kireep Road VIC 3103,720,4,2,2,House,-37.8117,145.081
143,GROVEDALE 75 Pethajohn Parade VIC 3216,600,4,2,2,House,-38.2335,144.3007
144,IVANHOE 89 Marshall Street VIC 3079,510,2,1,2,House,-37.769,145.0431
145,SOUTH YARRA 22 Davis Avenue VIC 3141,1500,3,2,1,House,-37.8333,144.9833
