,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates
493,546,ELWOOD 4/2 Selwyn Avenue VIC 3184,265,1,1,0,Apartment / Unit / Flat,-37.8809,144.9855,"[144.9855, -37.8809]"
494,547,ELWOOD 9/106 Addison Street VIC 3184,530,2,2,1,Apartment / Unit / Flat,-37.8809,144.9855,"[144.9855, -37.8809]"
495,548,BENTLEIGH EAST 105/801 Centre Road VIC 3165,440,2,2,1,Apartment / Unit / Flat,-37.9201,145.0599,"[145.0599, -37.9201]"
496,549,WEST MELBOURNE 503/9 Dryburgh Street VIC 3003,500,2,2,1,Apartment / Unit / Flat,-37.8101,144.95,"[144.95, -37.8101]"
497,550,HAWTHORN 29/70 Church Street VIC 3122,450,2,1,1,Apartment / Unit / Flat,-37.8199,145.0358,"[145.0358, -37.8199]"
498,551,WINDSOR 10/K7 High Street VIC 3181,350,1,1,0,Apartment / Unit / Flat,-37.853,144.9929,"[144.9929, -37.853]"
499,552,MURRUMBEENA 10/18 Gerald Street VIC 3163,310,1,1,1,Apartment / Unit / Flat,-37.8895,145.0581,"[145.0581, -37.8895]"
500,553,EAST MELBOURNE 38/400 Victoria Parade VIC 3002,770,3,2,2,Apartment / Unit / Flat,-37.8167,144.9879,"[144.9879, -37.8167]"
501,554,HIGHETT G04/12 Major Street VIC 3190,480,2,2,1,Apartment / Unit / Flat,-37.9517,145.0394,"[145.0394, -37.9517]"
502,555,BRUNSWICK WEST 511/5 Olive York Way VIC 3055,440,2,1,1,Apartment / Unit / Flat,-37.7603,144.9502,"[144.9502, -37.7603]"
503,556,FITZROY 312/416 Gore Street VIC 3065,595,2,1,2,Apartment / Unit / Flat,-37.7984,144.9783,"[144.9783, -37.7984]"
504,557,KEW 7/47 Pakington Street VIC 3101,380,2,1,1,Apartment / Unit / Flat,-37.8064,145.0309,"[145.0309, -37.8064]"
505,558,PRAHRAN 1/34 Wynnstay Road VIC 3181,290,1,1,1,Apartment / Unit / Flat,-37.853,144.9929,"[144.9929, -37.853]"
506,559,ST KILDA 12/45 Marine Parade VIC 3182,790,2,2,2,Apartment / Unit / Flat,-37.8633,144.9802,"[144.9802, -37.8633]"
507,560,PORT MELBOURNE 505/25 Nott Street VIC 3207,395,1,1,0,Apartment / Unit / Flat,-37.8329,144.922,"[144.922, -37.8329]"
508,561,CLAYTON 5/265 Clayton Road VIC 3168,400,2,1,2,Apartment / Unit / Flat,-37.9167,145.1333,"[145.1333, -37.9167]"
509,562,MOUNT WAVERLEY 2/11 Therese Avenue VIC 3149,495,3,1,2,Apartment / Unit / Flat,-37.8771,145.1294,"[145.1294, -37.8771]"
510,563,ORMOND 4/13 Lillimur Road VIC 3204,525,2,1,1,Apartment / Unit / Flat,-37.9024678,145.0409643,"[145.0409643, -37.9024678]"
511,564,MALVERN EAST 402/1399 Dandenong Road VIC 3145,650,2,2,1,Apartment / Unit / Flat,-37.874,145.0425,"[145.0425, -37.874]"
512,565,CAULFIELD SOUTH 1/27 Venus St VIC 3162,430,2,1,1,Apartment / Unit / Flat,-37.8914,145.0254,"[145.0254, -37.8914]"
513,566,EAST MELBOURNE P08P/191 Powlett Street VIC 3002,625,2,1,1,Apartment / Unit / Flat,-37.8167,144.9879,"[144.9879, -37.8167]"
514,567,COBURG 417/11 Urquhart Street VIC 3058,365,1,1,1,Apartment / Unit / Flat,-37.75,144.9667,"[144.9667, -37.75]"
515,568,MURRUMBEENA 101/17 Murrumbeena Road VIC 3163,460,2,2,1,Apartment / Unit / Flat,-37.8895,145.0581,"[145.0581, -37.8895]"
516,569,BLACK ROCK 5/310 Beach Road VIC 3193,480,2,1,1,Apartment / Unit / Flat,-37.9736,145.0164,"[145.0164, -37.9736]"
517,570,ELWOOD 206/96 Ormond Road VIC 3184,425,1,1,1,Apartment / Unit / Flat,-37.8809,144.9855,"[144.9855, -37.8809]"
518,571,HAWTHORN 2/474 Glenferrie Road VIC 3122,520,2,1,1,Apartment / Unit / Flat,-37.8199,145.0358,"[145.0358, -37.8199]"
519,572,EAST MELBOURNE 203/150 Clarendon Street VIC 3002,950,1,1,1,Apartment / Unit / Flat,-37.8167,144.9879,"[144.9879, -37.8167]"
520,573,BRUNSWICK EAST 102/9 Village Avenue VIC 3057,550,2,2,1,Apartment / Unit / Flat,-37.7603,144.9502,"[144.9502, -37.7603]"
521,574,FOOTSCRAY 609/2 Joseph Road VIC 3011,800,1,1,1,Apartment / Unit / Flat,-37.7995,144.8963,"[144.8963, -37.7995]"
522,575,PORT MELBOURNE 7A/9 Beach Street VIC 3207,750,2,1,1,Apartment / Unit / Flat,-37.8329,144.922,"[144.922, -37.8329]"
523,576,MALVERN EAST 9/1 Tooronga Road VIC 3145,440,2,1,1,Apartment / Unit / Flat,-37.874,145.0425,"[145.0425, -37.874]"
524,577,ST KILDA 41/64 Fitzroy Street VIC 3182,430,1,1,1,Apartment / Unit / Flat,-37.8633,144.9802,"[144.9802, -37.8633]"
525,578,WINDSOR 112/270 High St VIC 3181,390,1,1,0,Apartment / Unit / Flat,-37.853,144.9929,"[144.9929, -37.853]"
526,579,EAST MELBOURNE 27/155 Powlett Street VIC 3002,575,2,1,1,Apartment / Unit / Flat,-37.8167,144.9879,"[144.9879, -37.8167]"
527,580,SOUTH YARRA 21/32 Darling Street VIC 3141,390,1,1,0,Apartment / Unit / Flat,-37.8333,144.9833,"[144.9833, -37.8333]"
528,581,FITZROY NORTH 221/378-390 Saint Georges Road VIC 3068,630,2,2,1,Apartment / Unit / Flat,-37.7865,144.9897,"[144.9897, -37.7865]"
529,582,SANDRINGHAM 2/91 Beach Road VIC 3191,475,2,1,2,Apartment / Unit / Flat,-37.95,145.0,"[145.0, -37.95]"
530,583,PORT MELBOURNE 415/99 Nott Street VIC 3207,500,2,1,2,Apartment / Unit / Flat,-37.8329,144.922,"[144.922, -37.8329]"
531,584,FITZROY 203/57-61 Johnston Street VIC 3065,640,2,2,1,Apartment / Unit / Flat,-37.7984,144.9783,"[144.9783, -37.7984]"
532,586,NORTH MELBOURNE 19 Little Cobden Street VIC 3051,415,1,1,1,Apartment / Unit / Flat,-37.8029,144.9482,"[144.9482, -37.8029]"
533,587,FOOTSCRAY 1608/6 Joseph Road VIC 3011,400,1,1,1,Apartment / Unit / Flat,-37.7995,144.8963,"[144.8963, -37.7995]"
534,588,CAULFIELD 5/8 Anderson Street VIC 3162,525,3,1,0,Apartment / Unit / Flat,-37.8914,145.0254,"[145.0254, -37.8914]"
535,589,FAIRFIELD 38/262 Heidelberg Road VIC 3078,380,1,1,1,Apartment / Unit / Flat,-37.7829,145.0226,"[145.0226, -37.7829]"
536,590,PASCOE VALE 4/4 Essex Street VIC 3044,410,2,1,1,Apartment / Unit / Flat,-37.7319,144.9381,"[144.9381, -37.7319]"
537,591,MELBOURNE 405/442 St Kilda Road VIC 3004,380,1,1,1,Apartment / Unit / Flat,-37.814,144.9633,"[144.9633, -37.814]"
