address,price,beds,baths,parking,propertyTypeFormatted
HAWTHORN EAST 15/40 Harold Street VIC 3123,600,2,2,1,House
CARLTON NORTH 46 Princes St VIC 3054,550,2,1,0,House
BENTLEIGH EAST 31 Magnolia Avenue VIC 3165,815,3,2,3,House
RICHMOND 25 Chestnut Street VIC 3121,1100,3,2,0,House
RICHMOND 46 Loyola Grove VIC 3121,750,3,2,2,House
ARMSTRONG CREEK 22 Falcon Street VIC 3217,480,4,2,2,House
CAULFIELD SOUTH 24 Brooklyn Avenue VIC 3162,695,2,1,2,House
HUGHESDALE 26 Austin Street VIC 3166,550,3,1,2,House
GLEN WAVERLEY 38 Kauri Grove VIC 3150,520,3,2,1,House
SOUTH YARRA 57 Lang Street VIC 3141,650,2,1,1,House
RINGWOOD NORTH 29 Melview Drive VIC 3134,600,3,2,2,House
NEWTOWN 2/2 Melville Avenue VIC 3220,570,2,2,2,House
PORT MELBOURNE 16 Byrne Street VIC 3207,650,3,1,1,House
BALWYN 1/18 Raynes Street VIC 3103,860,4,2,2,House
BALWYN NORTH 7 Nevada Street VIC 3104,760,5,2,2,House
HAWTHORN 2A Garden Street VIC 3122,50,3,2,2,House
BEAUMARIS 25 Spicer Street VIC 3193,1050,4,2,2,House
CLAYTON SOUTH 4 Main Road VIC 3169,595,3,2,2,House
RICHMOND 2 Neptune Street VIC 3121,625,2,1,1,House
NORTHCOTE 94 Helen Street VIC 3070,720,3,1,1,House
ALBERT PARK 54 O'Grady Street VIC 3206,1350,3,2,1,House
CLAYTON SOUTH 5 Bemboka Avenue VIC 3169,540,3,2,2,House
RICHMOND 11 Bennett Street VIC 3121,565,2,1,0,House
BENTLEIGH EAST 16 Neville Street VIC 3165,620,3,2,2,House
BRUNSWICK 52-54 Tinning Street VIC 3056,1400,7,3,0,House
MIDDLE PARK 175 Richardson Street VIC 3206,890,3,1,0,House
HUGHESDALE 24 Euston Road VIC 3166,675,4,2,3,House
COLLINGWOOD 73 Easey Street VIC 3066,750,3,1,0,House
BRIGHTON EAST 5 Lucas Street VIC 3187,1049,3,2,2,House
MOOROOLBARK 33 Blackburn Road VIC 3138,485,3,1,2,House
COBURG 177 Urquhart Street VIC 3058,620,3,2,1,House
BALWYN 19 Parkdale Avenue VIC 3103,550,3,1,2,House
CRANBOURNE NORTH 6 Naila Court VIC 3977,450,4,2,2,House
PAKENHAM 104 Park Orchard Drive VIC 3810,450,4,2,2,House
PRAHRAN 42 Commercial Road VIC 3181,560,2,1,2,House
PORT MELBOURNE 329 Howe Parade VIC 3207,645,3,1,2,House
NORTHCOTE 13 Bird Avenue VIC 3070,600,2,1,2,House
BRIGHTON 55 Durrant Street VIC 3186,1200,4,2,2,House
TRUGANINA 37 Award Crescent VIC 3029,410,3,2,3,House
HIGHTON 16 Homewood Lane VIC 3216,499,3,2,2,House
MONT ALBERT 30 High Street VIC 3127,995,4,2,2,House
GLEN HUNTLY 31 Foster Ave VIC 3163,880,4,1,2,House
ALBERT PARK 53 Hambleton Street VIC 3206,1450,4,2,0,House
YARRAVILLE 38 Urwin Street VIC 3013,490,2,1,1,House
RICHMOND 4 Wells Street VIC 3121,650,3,1,0,House
CANTERBURY 14 Avenue Athol VIC 3126,1300,4,3,3,House
TOORAK 23A Bruce Street VIC 3142,1850,3,3,2,House
MONT ALBERT 7 Agnes Street VIC 3127,900,4,2,2,House
BALNARRING BEACH 11 Hansens Lane VIC 3926,1995,4,4,2,House
TOORAK 16 Glyndebourne Avenue VIC 3142,850,2,1,1,House
BRUNSWICK 4 McPherson Street VIC 3056,750,3,2,0,House
PRAHRAN 40 Kelvin Grove VIC 3181,815,3,1,2,House
UPWEY 48 Thompson Road VIC 3158,660,4,2,2,House
ABBOTSFORD 48 Yarra Street VIC 3067,900,3,2,2,House
PORT MELBOURNE 31 Garton Street VIC 3207,675,2,1,0,House
PORT MELBOURNE 114 Clark Street VIC 3207,890,4,1,1,House
NEWTOWN 47 Clarke Street VIC 3220,520,3,1,1,House
KEYSBOROUGH 36 Beau Vorno Avenue VIC 3173,570,4,2,2,House
