,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates,coord,school,train_station,fitness_gym,hospital,shopping_center,park
93,93,93,97,SOUTH YARRA 3 Barry Street VIC 3141,795,3,1,0,House,-37.8333,144.9833,"[144.9833, -37.8333]","[144.9833, -37.8333]",8922.0,1444.3,2258.5,1686.2,1760.3,2438.6
94,94,94,98,CHADSTONE 2/28 Rae Street VIC 3148,600,3,2,2,House,-37.8833,145.1167,"[145.1167, -37.8833]","[145.1167, -37.8833]",2903.2,1819.3,3564.6,2789.3,2653.2,922.9
95,95,95,99,BOX HILL SOUTH 43 Neville Street VIC 3128,445,3,1,2,House,-37.8256,145.1232,"[145.1232, -37.8256]","[145.1232, -37.8256]",3435.7,1402.2,3099.1,1190.7,1125.5,1446.9
96,96,96,100,MONT ALBERT NORTH 9 Braemar Street VIC 3129,650,3,1,2,House,-37.8004,145.1083,"[145.1083, -37.8004]","[145.1083, -37.8004]",1267.6,3417.0,2040.4,2947.6,3322.8,1457.8
97,97,97,101,WEST FOOTSCRAY 18 Pitt Street VIC 3012,590,3,2,3,House,-37.8302,144.8709,"[144.8709, -37.8302]","[144.8709, -37.8302]",5556.3,1793.4,1170.5,4877.6,3019.7,277.4
98,98,98,102,DONCASTER EAST 2 Peter Street VIC 3109,640,5,2,2,House,-37.7795,145.1638,"[145.1638, -37.7795]","[145.1638, -37.7795]",7143.3,5125.1,686.5,2082.5,2166.6,675.9
99,99,99,103,COBURG 8 Grey Street VIC 3058,630,5,2,0,House,-37.75,144.9667,"[144.9667, -37.75]","[144.9667, -37.75]",3099.5,888.5,1617.6,1255.4,3204.2,1478.4
100,100,100,104,ASHWOOD 7 Woolert Street VIC 3147,400,2,1,1,House,-37.8626,145.0794,"[145.0794, -37.8626]","[145.0794, -37.8626]",3131.3,225.9,3747.3,2558.7,2902.5,938.4
101,101,101,105,CAULFIELD 14 Harcourt Ave VIC 3162,950,3,2,2,House,-37.8914,145.0254,"[145.0254, -37.8914]","[145.0254, -37.8914]",4127.5,1864.6,677.3,0.0,3484.0,1033.6
102,102,102,106,THORNBURY 9 Harold Street VIC 3071,905,3,1,1,House,-37.7583,145.0051,"[145.0051, -37.7583]","[145.0051, -37.7583]",6328.9,948.5,2628.8,2028.2,2224.9,1330.4
103,103,103,107,HEIDELBERG HEIGHTS 562 Waterdale Rd VIC 3081,385,2,1,4,House,-37.7531,145.0385,"[145.0385, -37.7531]","[145.0385, -37.7531]",6474.7,2807.3,1787.8,1752.6,2309.1,352.0
104,104,104,108,TOORAK 99 Grange Road VIC 3142,2200,5,3,2,House,-37.8416,145.0177,"[145.0177, -37.8416]","[145.0177, -37.8416]",9445.5,1204.1,681.8,1142.1,836.9,1362.8
105,105,105,109,RICHMOND 89 Elizabeth Street VIC 3121,425,2,1,0,House,-37.8271,145.0064,"[145.0064, -37.8271]","[145.0064, -37.8271]",10859.6,634.6,1006.2,1854.7,2233.0,388.3
106,106,106,110,SOUTH YARRA 19 Balmoral Place VIC 3141,1200,3,3,2,House,-37.8333,144.9833,"[144.9833, -37.8333]","[144.9833, -37.8333]",8922.0,1444.3,2258.5,1686.2,1760.3,2438.6
