,Unnamed: 0.1,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2023income,2023house_price,Unnamed: 0,erp_2023,net_internal_migration_2022_23,net_overseas_migration_2022_23,natural_increase_2022_23
55,58,700,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
56,59,700,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
57,60,1200,HIGHTON,4,2,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
58,61,1200,HIGHTON,4,2,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
59,62,499,HIGHTON,3,2,2,-38.2335,144.3007,4111.0,56547.1,4378.7,11034.2,9297.5,1905.3,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
60,63,499,HIGHTON,3,2,2,-38.2335,144.3007,4111.0,56547.1,4378.7,11034.2,9297.5,1905.3,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
61,64,850,HIGHTON,3,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
62,65,850,HIGHTON,3,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
63,66,1200,HIGHTON,3,2,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
64,67,1200,HIGHTON,3,2,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
65,68,740,HIGHTON,3,2,2,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
66,69,740,HIGHTON,3,2,2,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
67,70,795,HIGHTON,3,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
68,71,795,HIGHTON,3,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
69,72,600,HIGHTON,3,1,6,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
70,73,600,HIGHTON,3,1,6,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
71,74,2200,HIGHTON,5,3,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
72,75,2200,HIGHTON,5,3,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
73,76,910,HIGHTON,5,5,4,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
74,77,910,HIGHTON,5,5,4,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
75,78,2100,HIGHTON,5,3,4,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
76,79,2100,HIGHTON,5,3,4,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
77,80,1100,HIGHTON,3,2,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
78,81,1100,HIGHTON,3,2,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
79,82,2600,HIGHTON,4,3,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
80,83,2600,HIGHTON,4,3,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
81,84,2500,HIGHTON,4,2,3,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
82,85,2500,HIGHTON,4,2,3,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
83,86,1490,HIGHTON,4,2,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
84,87,1490,HIGHTON,4,2,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
85,88,670,HIGHTON,3,1,2,-37.7829,145.0226,6800.6,1181.2,847.9,680.2,2692.3,986.3,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
86,89,670,HIGHTON,3,1,2,-37.7829,145.0226,6800.6,1181.2,847.9,680.2,2692.3,986.3,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
87,90,1250,HIGHTON,3,2,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
88,91,1250,HIGHTON,3,2,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
89,92,1150,CAMBERWELL,6,3,2,-37.8248,145.0705,6467.5,991.7,3746.5,1508.7,2062.9,440.3,15585.5,1025200.0,166,23466.0,-749.6000000000058,-606.5999999999767,-110.79999999999929
90,93,750,CAMBERWELL,3,1,1,-37.8248,145.0705,6467.5,991.7,3746.5,1508.7,2062.9,440.3,15585.5,1025200.0,166,23466.0,-749.6000000000058,-606.5999999999767,-110.79999999999929
91,94,800,CAMBERWELL,3,2,2,-37.8248,145.0705,6467.5,991.7,3746.5,1508.7,2062.9,440.3,15585.5,1025200.0,166,23466.0,-749.6000000000058,-606.5999999999767,-110.79999999999929
92,95,1900,CAMBERWELL,6,4,5,-37.8248,145.0705,6467.5,991.7,3746.5,1508.7,2062.9,440.3,15585.5,1025200.0,166,23466.0,-749.6000000000058,-606.5999999999767,-110.79999999999929
93,96,650,CAMBERWELL,2,1,3,-37.8248,145.0705,6467.5,991.7,3746.5,1508.7,2062.9,440.3,15585.5,1025200.0,166,23466.0,-749.6000000000058,-606.5999999999767,-110.79999999999929
94,97,995,CAMBERWELL,5,2,2,-37.8248,145.0705,6467.5,991.7,3746.5,1508.7,2062.9,440.3,15585.5,1025200.0,166,23466.0,-749.6000000000058,-606.5999999999767,-110.79999999999929
95,98,750,MOONEE PONDS,3,2,2,-37.7667,144.9167,3724.0,323.9,590.2,966.0,641.4,1347.0,11717.599999999977,524400.0,142,17373.599999999977,22.599999999998545,-325.7999999999884,23.599999999998545
