,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2025income,2025house_price,Unnamed: 0,erp_2025,net_internal_migration_2024_25,net_overseas_migration_2024_25,natural_increase_2024_25
40,390,EAST MELBOURNE,1,1,0,-37.8049913,144.94188,5770.2,617.8,796.9,1882.4,2006.8,2532.5,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
41,390,EAST MELBOURNE,1,1,0,-37.8049913,144.94188,5770.2,617.8,796.9,1882.4,2006.8,2532.5,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
42,485,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
43,485,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
44,575,EAST MELBOURNE,2,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
45,575,EAST MELBOURNE,2,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
46,490,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
47,490,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
48,595,HIGHTON,2,2,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
49,595,HIGHTON,2,2,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
50,430,HIGHTON,2,1,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
51,430,HIGHTON,2,1,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
52,525,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
53,525,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
54,460,HIGHTON,2,1,1,-37.7829,145.0226,6800.6,1181.2,847.9,680.2,2692.3,986.3,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
55,460,HIGHTON,2,1,1,-37.7829,145.0226,6800.6,1181.2,847.9,680.2,2692.3,986.3,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
56,390,HIGHTON,2,1,2,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
