Unnamed: 0.1,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates,train_station
872,961,CARNEGIE 315/1060 Dandenong Road VIC 3163,530,2,2,1,Apartment / Unit / Flat,-37.8895,145.0581,"[145.0581, -37.8895]",862.5
873,962,EAST MELBOURNE 1/9 Garden Avenue VIC 3002,490,2,1,1,Apartment / Unit / Flat,-37.8167,144.9879,"[144.9879, -37.8167]",381.0
874,963,CAULFIELD NORTH 1/55 Wanda Rd VIC 3161,750,3,2,2,Apartment / Unit / Flat,-37.8671941,145.0210764,"[145.0210764, -37.8671941]",1666.7
875,964,ST KILDA 3502/14-16 The Esplanade VIC 3182,5000,3,3,3,Apartment / Unit / Flat,-37.8633,144.9802,"[144.9802, -37.8633]",1744.7
876,965,PORT MELBOURNE 301/130 Bay Street VIC 3207,1600,3,3,2,Apartment / Unit / Flat,-37.8329,144.922,"[144.922, -37.8329]",4973.4
877,966,SOUTH YARRA 14/110 Caroline Street VIC 3141,500,2,1,1,Apartment / Unit / Flat,-37.8333,144.9833,"[144.9833, -37.8333]",1444.3
878,967,MELBOURNE 60/485 St Kilda Road VIC 3004,395,1,1,1,Apartment / Unit / Flat,-37.814,144.9633,"[144.9633, -37.814]",782.5
879,968,COLLINGWOOD 201/109 Dight Street VIC 3066,500,1,1,1,Apartment / Unit / Flat,-37.8,144.9833,"[144.9833, -37.8]",1496.9
880,969,SOUTHBANK 3908E/18 Hoff Blvd VIC 3006,700,2,2,0,Apartment / Unit / Flat,-37.8228,144.9643,"[144.9643, -37.8228]",1206.5
881,970,MENTONE 1/57 Milan Street VIC 3194,440,2,1,2,Apartment / Unit / Flat,-37.9833,145.0667,"[145.0667, -37.9833]",203.3
882,971,ASCOT VALE 1/26 Epsom Road VIC 3032,400,2,1,1,Apartment / Unit / Flat,-37.7808,144.9354,"[144.9354, -37.7808]",1245.2
883,972,ST KILDA 22/19 Robe Street VIC 3182,450,2,1,1,Apartment / Unit / Flat,-37.8633,144.9802,"[144.9802, -37.8633]",1744.7
884,973,MALVERN 9/12 Irving Street VIC 3144,400,1,1,1,Apartment / Unit / Flat,-37.8512,145.0317,"[145.0317, -37.8512]",1508.9
885,974,COBURG 5/144 Nicholson Street VIC 3058,300,2,1,1,Apartment / Unit / Flat,-37.75,144.9667,"[144.9667, -37.75]",888.5
886,975,TAWONGA SOUTH 1 Heberles Road VIC 3698,320,1,1,0,Apartment / Unit / Flat,-36.7359,147.1521,"[147.1521, -36.7359]",338989.3
887,976,THORNBURY 4/97 Gooch Street VIC 3071,395,2,1,1,Apartment / Unit / Flat,-37.7583,145.0051,"[145.0051, -37.7583]",948.5
