,Facility ID,Facility Name,Street Name,Suburb/Town,Pcode,Latitude,Longitude,Field/Surface Type,FullAddress,MelwaysVicRoadsRef
36,EASTGI10989,Bairnsdale Outdoor Swimming Pool,Turnbull ,BAIRNSDALE,3875.0,-37.823284,147.618016,50m Pool - Outdoor,"49 Turnbull  Street, BAIRNSDALE 3875",688 H7
37,EASTGI11026,Mallacoota Swimming Pool,Betka,MALLACOOTA,3892.0,-37.562064,149.753667,Recreation / Play Water Space,"63 Betka Road, MALLACOOTA 3892",683 R7
38,GANNAW8835,Cohuna Swimming Pool,Tennis,COHUNA,3568.0,-35.807018,144.221199,"25m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool"," Tennis Road, COHUNA 3568",590 J10
39,GANNAW8842,Kerang Swimming Pool,Shadford,KERANG,3579.0,-35.733526,143.915405,"25m Pool - Outdoor, 50m Pool - Outdoor, Toddlers Pool"," Shadford Street, KERANG 3579",592 B4
40,GANNAW8849,Koondrook Swimming Pool,Thompson,KOONDROOK,3580.0,-35.642613,144.12885,"25m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool"," Thompson Street, KOONDROOK 3580",591 R9
41,GANNAW8856,Leitchville War Memorial Swimming Pool,King George,LEITCHVILLE,3567.0,-35.90351,144.301495,"25m Pool - Outdoor, Childrens Learning Pool","2A King George Street, LEITCHVILLE 3567",21 F8
42,GANNAW8863,Quambatook Swimming Pool,River,QUAMBATOOK,3540.0,-35.850912,143.523524,"25m Pool - Outdoor, Childrens Learning Pool"," River Street, QUAMBATOOK 3540",20 A7
43,GREATE11088,Lara Swimming Pool,Bank,LARA,3212.0,-38.02462,144.397698,50m Pool - Outdoor," Bank Street , LARA 3212",422 K6
44,GLENEL11575,Heywood Swimming pool,Hunter,HEYWOOD,3304.0,-38.131326,141.628187,," Hunter Street, HEYWOOD 3304",502 C3
45,GLENEL11579,Merino Swimming pool,Mocamboro,MERINO,3310.0,-37.713295,141.546055,," Mocamboro Road, MERINO 3310",501 R2
46,HEPBUR9230,Daylesford Swimming Pool,Central Springs,DAYLESFORD,3460.0,-37.34291,144.141035,50m Pool - Outdoor," Central Springs Road, DAYLESFORD 3460",582 E10
