,suburb,erp_2016,erp_2017,erp_2018,natural_increase_2016_17,net_internal_migration_2016_17,net_overseas_migration_2016_17,natural_increase_2017_18,net_internal_migration_2017_18,net_overseas_migration_2017_18,natural_increase_2018_19,net_internal_migration_2018_19,net_overseas_migration_2018_19,2016income,2017income,2018income
174,HAWTHORN,24548,25048,25532,164.0,-196.0,532.0,164.0,-199.0,519.0,171.0,-54.0,512.0," 16,493 "," 17,176 ","17,287"
175,HAWTHORN EAST,16192,16625,16994,110.0,-6.0,329.0,95.0,-11.0,285.0,82.0,-108.0,276.0," 10,389 "," 10,774 ","11,148"
176,KEW,26504,26774,26915,50.0,-100.0,320.0,3.0,-156.0,294.0,39.0,-49.0,285.0," 16,786 "," 17,113 ","17,095"
177,KEW EAST,6855,6909,6916,47.0,-85.0,92.0,15.0,-93.0,85.0,38.0,-58.0,81.0," 4,185 "," 4,200 ","4,272"
178,BULLEEN,11565,11652,11765,32.0,-94.0,149.0,42.0,-71.0,142.0,23.0,-93.0,137.0," 6,722 "," 6,829 ","6,946"
179,BEAUMARIS,14250,14458,14606,11.0,83.0,114.0,43.0,0.0,105.0,26.0,40.0,100.0," 9,083 "," 9,252 ","9,258"
180,DONCASTER,21885,22718,23405,88.0,153.0,592.0,104.0,-55.0,638.0,106.0,316.0,638.0," 12,974 "," 13,582 ","14,237"
181,BOX HILL NORTH,18466,18702,18970,162.0,-394.0,468.0,109.0,-293.0,452.0,114.0,-319.0,454.0," 10,383 "," 10,768 ","11,124"
182,TEMPLESTOWE,17682,17738,17734,-37.0,-142.0,235.0,-48.0,-178.0,222.0,-54.0,-130.0,215.0," 10,665 "," 10,792 ","10,914"
183,TEMPLESTOWE LOWER,14305,14402,14451,-18.0,-22.0,137.0,-37.0,-61.0,147.0,-40.0,-74.0,147.0," 8,015 "," 8,163 ","8,144"
184,DONCASTER EAST (NORTH),15328,15438,15571,67.0,-215.0,258.0,35.0,-159.0,257.0,29.0,-101.0,250.0," 9,355 "," 9,650 ","9,886"
185,DONCASTER EAST (SOUTH),14596,14933,15139,61.0,-148.0,424.0,40.0,-259.0,425.0,35.0,204.0,420.0," 8,008 "," 8,309 ","8,612"
186,BLACKBURN,22291,22738,23055,60.0,28.0,359.0,62.0,-83.0,338.0,59.0,-48.0,328.0," 13,297 "," 13,726 ","14,088"
187,BLACKBURN SOUTH,11229,11318,11399,2.0,-69.0,156.0,20.0,-76.0,137.0,38.0,-62.0,123.0," 6,011 "," 6,167 ","6,283"
188,BOX HILL,20839,21703,22627,107.0,-320.0,1077.0,121.0,-237.0,1040.0,64.0,-378.0,1007.0," 11,812 "," 12,330 ","12,915"
189,BURWOOD,12900,13646,14198,17.0,-244.0,973.0,15.0,-360.0,897.0,19.0,-394.0,829.0," 6,364 "," 6,815 ","7,160"
190,SANDRINGHAM - BLACK ROCK,17517,17733,18032,-5.0,68.0,153.0,-8.0,150.0,157.0,-6.0,131.0,156.0," 10,925 "," 11,206 ","11,359"
191,BENTLEIGH - MCKINNON,23586,24092,24509,107.0,20.0,379.0,70.0,-9.0,356.0,70.0,123.0,346.0," 13,879 "," 14,517 ","15,047"
192,CARNEGIE,19091,19570,20137,161.0,-361.0,679.0,99.0,-169.0,637.0,122.0,-316.0,619.0," 10,976 "," 11,438 ","11,945"
193,CAULFIELD - NORTH,22288,22949,23273,197.0,-44.0,508.0,159.0,-236.0,401.0,127.0,-229.0,352.0," 14,098 "," 14,633 ","14,662"
194,CAULFIELD - SOUTH,18393,18589,18765,-7.0,-102.0,305.0,-12.0,-47.0,235.0,19.0,-83.0,225.0," 11,673 "," 11,818 ","11,675"
195,ELSTERNWICK,12110,12304,12499,118.0,-89.0,165.0,92.0,-47.0,150.0,76.0,-49.0,145.0," 7,717 "," 7,932 ","8,120"
196,CHELSEA - BONBEACH,14833,15136,15389,77.0,103.0,123.0,46.0,89.0,118.0,36.0,60.0,115.0," 8,431 "," 8,610 ","8,707"
197,CHELSEA HEIGHTS,5538,5586,5596,53.0,-29.0,24.0,46.0,-58.0,22.0,34.0,-31.0,22.0," 3,094 "," 3,158 ","3,165"
198,CHELTENHAM - HIGHETT (EAST),23449,23921,24586,120.0,62.0,290.0,140.0,235.0,290.0,65.0,110.0,289.0," 13,505 "," 13,946 ","14,549"
199,EDITHVALE - ASPENDALE,13376,13518,13756,78.0,-30.0,94.0,79.0,69.0,90.0,72.0,108.0,89.0," 7,770 "," 7,988 ","8,202"
200,MENTONE,13695,13872,14006,44.0,-72.0,205.0,34.0,-89.0,189.0,86.0,-85.0,178.0," 8,337 "," 8,524 ","8,596"
201,MOORABBIN - HEATHERTON,9253,9398,9566,41.0,-73.0,177.0,35.0,-49.0,182.0,38.0,-41.0,184.0," 5,288 "," 5,521 ","5,592"
202,MOORABBIN AIRPORT,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 7 , 8 , 8 
203,MORDIALLOC - PARKDALE,20969,21287,21579,93.0,-57.0,282.0,64.0,-22.0,250.0,59.0,71.0,248.0," 12,368 "," 12,671 ","13,021"
204,MALVERN - GLEN IRIS,21148,21443,21617,56.0,-50.0,289.0,75.0,-156.0,255.0,47.0,-39.0,241.0," 13,978 "," 14,381 ","14,437"
205,MALVERN EAST,22575,23021,23477,65.0,-186.0,567.0,62.0,-115.0,509.0,52.0,-176.0,492.0," 13,497 "," 13,831 ","14,094"
206,BUNDOORA - EAST,10292,10385,10461,56.0,-156.0,193.0,65.0,-183.0,194.0,51.0,-150.0,191.0," 5,474 "," 5,660 ","5,821"
207,GREENSBOROUGH,21348,21484,21563,125.0,-104.0,115.0,115.0,-159.0,123.0,110.0,-131.0,125.0," 12,751 "," 12,960 ","13,043"
208,HAMPTON PARK - LYNBROOK,26780,27142,27470,367.0,-486.0,481.0,370.0,-502.0,460.0,329.0,-593.0,450.0," 12,832 "," 13,309 ","13,531"
209,HEIDELBERG - ROSANNA,15532,15877,16130,52.0,65.0,228.0,61.0,-23.0,215.0,-12.0,151.0,208.0," 9,126 "," 9,515 ","9,755"
210,HEIDELBERG WEST,14806,15118,15349,140.0,-40.0,212.0,127.0,-122.0,226.0,134.0,55.0,226.0," 7,362 "," 7,847 ","8,179"
211,PRESTON - EAST,21192,21864,22401,160.0,-15.0,527.0,105.0,-73.0,505.0,139.0,-128.0,495.0," 11,780 "," 12,110 ","12,549"
212,IVANHOE,11998,12437,12679,80.0,203.0,156.0,66.0,33.0,143.0,62.0,48.0,138.0," 7,720 "," 8,123 ","8,255"
213,PRESTON - WEST,12867,13152,13366,118.0,-82.0,249.0,100.0,-126.0,240.0,98.0,-90.0,234.0," 7,332 "," 7,586 ","7,839"
214,LYNBROOK - LYNDHURST,16067,16614,17132,243.0,12.0,292.0,204.0,34.0,280.0,213.0,-133.0,274.0," 8,733 "," 9,145 ","9,537"
215,IVANHOE EAST - EAGLEMONT,8119,8231,8253,-7.0,51.0,68.0,30.0,-71.0,63.0,22.0,-41.0,61.0," 5,450 "," 5,529 ","5,519"
216,KINGSBURY,11965,12583,13048,17.0,-9.0,610.0,26.0,-174.0,613.0,23.0,-444.0,627.0," 5,665 "," 6,110 ","6,278"
217,PEARCEDALE - TOORADIN,8035,8092,8155,64.0,-17.0,10.0,41.0,13.0,9.0,53.0,-42.0,10.0," 4,680 "," 4,719 ","4,796"
218,MONTMORENCY - BRIAR HILL,16792,16922,16991,116.0,-88.0,102.0,95.0,-123.0,97.0,68.0,-76.0,95.0," 10,034 "," 10,176 ","10,215"
219,BUNDOORA - WEST,6456,6532,6625,59.0,-190.0,207.0,49.0,-164.0,208.0,30.0,-150.0,203.0," 3,388 "," 3,454 ","3,521"
220,VIEWBANK - YALLAMBIE,19018,19117,19215,82.0,-175.0,192.0,93.0,-193.0,198.0,58.0,-230.0,199.0," 10,819 "," 11,003 ","11,035"
221,WATSONIA,9542,9613,9678,81.0,-70.0,60.0,90.0,-81.0,56.0,80.0,-118.0,57.0," 5,290 "," 5,384 ","5,516"
222,WEST FOOTSCRAY - TOTTENHAM,12058,12322,12613,148.0,-214.0,330.0,163.0,-187.0,315.0,148.0,-140.0,308.0," 7,018 "," 7,297 ","7,505"
223,RESERVOIR - EAST,28420,29034,29560,153.0,-194.0,655.0,183.0,-306.0,649.0,161.0,-329.0,635.0," 14,112 "," 14,937 ","15,566"
224,RESERVOIR - WEST,25246,25599,25837,129.0,-247.0,471.0,216.0,-442.0,464.0,167.0,-382.0,464.0," 13,053 "," 13,471 ","13,801"
225,ELTHAM,24008,24111,24206,141.0,-178.0,140.0,108.0,-161.0,148.0,116.0,-183.0,143.0," 14,815 "," 15,097 ","15,220"
226,MILL PARK - SOUTH,12526,12530,12485,88.0,-213.0,129.0,98.0,-281.0,138.0,101.0,-316.0,134.0," 6,851 "," 6,909 ","6,918"
227,HURSTBRIDGE,3605,3624,3625,34.0,-23.0,8.0,21.0,-28.0,8.0,26.0,-35.0,8.0," 2,219 "," 2,210 ","2,195"
228,KINGLAKE,3984,4048,4122,31.0,29.0,4.0,37.0,33.0,4.0,23.0,7.0,4.0," 2,261 "," 2,273 ","2,329"
229,PANTON HILL - ST ANDREWS,5409,5441,5496,20.0,-5.0,17.0,26.0,13.0,16.0,21.0,-43.0,16.0," 3,291 "," 3,334 ","3,317"
230,PLENTY - YARRAMBAT,9794,9882,9930,44.0,-14.0,58.0,52.0,-60.0,56.0,18.0,-18.0,55.0," 6,210 "," 6,316 ","6,326"
231,RESEARCH - NORTH WARRANDYTE,7007,7044,7054,30.0,-34.0,41.0,46.0,-74.0,38.0,51.0,-88.0,38.0," 4,332 "," 4,456 ","4,402"
232,WATTLE GLEN - DIAMOND CREEK,14351,14447,14561,84.0,-39.0,51.0,123.0,-59.0,50.0,62.0,-83.0,49.0," 8,903 "," 9,051 ","9,167"
233,BUNDOORA - NORTH,7959,8229,8494,60.0,-53.0,263.0,70.0,-59.0,254.0,48.0,-180.0,248.0," 4,182 "," 4,373 ","4,471"
234,LALOR,23874,24421,24761,283.0,-162.0,426.0,250.0,-337.0,427.0,244.0,-358.0,426.0," 10,618 "," 11,055 ","11,440"
235,MILL PARK - NORTH,18712,18710,18747,84.0,-300.0,214.0,96.0,-265.0,206.0,95.0,-336.0,202.0," 10,634 "," 10,733 ","10,984"
236,THOMASTOWN,21485,21533,21596,182.0,-496.0,362.0,162.0,-469.0,370.0,109.0,-469.0,367.0," 9,715 "," 10,049 ","10,402"
237,WALLAN,16747,17466,18445,215.0,442.0,62.0,248.0,671.0,60.0,260.0,890.0,59.0," 9,623 "," 10,316 ","11,176"
238,WHITTLESEA,8436,8607,8768,-5.0,154.0,22.0,10.0,129.0,22.0,6.0,115.0,22.0," 4,511 "," 4,724 ","4,855"
239,ESSENDON AIRPORT,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 18 , 19 , 18 
240,DOREEN,21801,23390,25171,455.0,979.0,155.0,392.0,1241.0,148.0,420.0,978.0,143.0," 12,150 "," 12,892 ","13,777"
241,EPPING - EAST,13738,13909,14008,91.0,-139.0,219.0,57.0,-166.0,208.0,68.0,-229.0,204.0," 7,110 "," 7,227 ","7,269"
242,EPPING - SOUTH,8690,8763,8780,65.0,-169.0,177.0,86.0,-238.0,169.0,-26.0,-152.0,165.0," 4,467 "," 4,538 ","4,575"
243,EPPING - WEST,11484,12278,12770,245.0,318.0,231.0,250.0,19.0,223.0,217.0,-100.0,218.0," 5,988 "," 6,154 ","6,376"
244,BROADMEADOWS,13916,14225,14429,147.0,-270.0,432.0,201.0,-411.0,414.0,204.0,-463.0,404.0," 5,159 "," 5,524 ","6,021"
245,MERNDA,17171,19617,21488,396.0,1800.0,250.0,431.0,1199.0,241.0,448.0,1188.0,235.0," 9,985 "," 10,820 ","11,828"
246,MEADOW HEIGHTS,15779,15829,15837,221.0,-450.0,279.0,233.0,-492.0,267.0,141.0,-469.0,261.0," 5,532 "," 5,735 ","5,920"
247,MELBOURNE AIRPORT,194,194,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 64 , 62 , 63 
248,SOUTH MORANG (NORTH),12675,13002,13232,190.0,10.0,127.0,174.0,-66.0,122.0,124.0,-37.0,119.0," 6,953 "," 7,174 ","7,361"
249,STRATHMORE,9968,10206,10372,41.0,132.0,65.0,42.0,62.0,62.0,28.0,13.0,61.0," 6,132 "," 6,309 ","6,429"
250,SOUTH MORANG (SOUTH),12558,12662,12698,51.0,-92.0,145.0,41.0,-153.0,148.0,15.0,-140.0,143.0," 6,787 "," 6,970 ","7,125"
251,GISBORNE,13312,13635,13963,105.0,169.0,49.0,71.0,210.0,47.0,85.0,118.0,45.0," 7,918 "," 8,095 ","8,257"
252,ROXBURGH PARK - SOMERTON,23041,23753,24433,222.0,46.0,444.0,298.0,-45.0,427.0,273.0,-62.0,416.0," 9,247 "," 9,804 ","10,352"
253,WOLLERT,9493,11503,13724,315.0,1443.0,252.0,308.0,1670.0,243.0,371.0,1742.0,236.0," 5,750 "," 6,636 ","7,985"
254,AIRPORT WEST,7903,8032,8280,42.0,24.0,63.0,62.0,126.0,60.0,78.0,142.0,59.0," 4,480 "," 4,639 ","4,842"
255,TULLAMARINE,6698,6758,6825,63.0,-98.0,95.0,49.0,-82.0,100.0,61.0,-141.0,97.0," 3,502 "," 3,616 ","3,683"
256,KEILOR,8993,9052,9065,36.0,-16.0,39.0,25.0,-49.0,37.0,20.0,-8.0,36.0," 5,350 "," 5,470 ","5,366"
257,GLENROY,23153,23834,24515,204.0,-201.0,678.0,234.0,-207.0,654.0,234.0,-403.0,640.0," 11,963 "," 12,653 ","13,495"
258,MOUNT WAVERLEY - NORTH,16053,16219,16334,30.0,-294.0,430.0,44.0,-333.0,404.0,53.0,-327.0,392.0," 9,666 "," 9,961 ","10,220"
259,KEILOR EAST,27399,27758,28106,67.0,59.0,233.0,18.0,105.0,225.0,30.0,317.0,220.0," 14,568 "," 14,783 ","15,130"
260,NIDDRIE - ESSENDON WEST,7250,7414,7604,58.0,39.0,67.0,56.0,69.0,65.0,41.0,39.0,64.0," 4,312 "," 4,434 ","4,482"
261,MACEDON,3525,3565,3606,22.0,7.0,11.0,19.0,11.0,11.0,12.0,-17.0,10.0," 2,079 "," 2,125 ","2,102"
262,RIDDELLS CREEK,4174,4240,4281,28.0,24.0,14.0,16.0,12.0,13.0,29.0,-3.0,12.0," 2,567 "," 2,629 ","2,656"
263,ROMSEY,9663,9866,10042,85.0,94.0,24.0,56.0,96.0,24.0,59.0,163.0,24.0," 5,457 "," 5,683 ","5,883"
264,COBURG NORTH,8112,8410,8668,59.0,99.0,140.0,42.0,82.0,134.0,64.0,3.0,131.0," 4,649 "," 4,831 ","5,067"
265,FAWKNER,14460,14756,14968,134.0,-197.0,359.0,108.0,-258.0,362.0,109.0,-160.0,363.0," 6,358 "," 6,731 ","7,001"
266,PASCOE VALE,24829,25638,26419,205.0,137.0,467.0,256.0,73.0,452.0,237.0,-141.0,442.0," 14,023 "," 14,539 ","15,325"
267,GOWANBRAE,3042,3091,3120,32.0,0.0,17.0,32.0,-20.0,17.0,25.0,-32.0,16.0," 1,797 "," 1,843 ","1,851"
268,CAMPBELLFIELD - COOLAROO,17122,17183,17221,172.0,-417.0,306.0,188.0,-442.0,292.0,150.0,-461.0,295.0," 6,009 "," 6,333 ","6,474"
269,GLADSTONE PARK - WESTMEADOWS,18353,18476,18656,103.0,-123.0,143.0,135.0,-106.0,151.0,104.0,-174.0,146.0," 9,906 "," 10,143 ","10,202"
270,GREENVALE - BULLA,17123,18210,19380,186.0,770.0,131.0,197.0,849.0,124.0,210.0,465.0,121.0," 10,544 "," 11,131 ","11,549"
271,CRAIGIEBURN - CENTRAL,8749,8833,8866,91.0,-193.0,186.0,119.0,-277.0,191.0,86.0,-300.0,188.0," 4,363 "," 4,457 ","4,492"
272,CRAIGIEBURN - SOUTH,16999,18269,19514,298.0,580.0,392.0,335.0,535.0,375.0,300.0,437.0,366.0," 8,962 "," 9,643 ","10,195"
273,CRAIGIEBURN - WEST,14882,16797,18561,383.0,1019.0,513.0,394.0,867.0,503.0,386.0,762.0,493.0," 7,497 "," 8,260 ","9,333"
274,MICKLEHAM - YUROKE,3580,4836,7361,120.0,1083.0,53.0,166.0,2307.0,52.0,317.0,3498.0,51.0," 3,118 "," 4,542 ","6,743"
275,CRAIGIEBURN - NORTH,12124,12716,13154,192.0,155.0,245.0,227.0,-25.0,236.0,192.0,-238.0,229.0," 6,082 "," 6,469 ","6,687"
276,CROYDON HILLS - WARRANWOOD,18752,18788,18839,117.0,-179.0,98.0,119.0,-170.0,102.0,99.0,-190.0,99.0," 11,572 "," 11,698 ","11,754"
277,BAYSWATER,12584,12732,12896,91.0,-94.0,151.0,83.0,-73.0,154.0,87.0,-61.0,149.0," 7,021 "," 7,295 ","7,461"
278,KNOXFIELD - SCORESBY,15752,16298,16765,111.0,274.0,161.0,109.0,195.0,163.0,127.0,143.0,159.0," 9,104 "," 9,492 ","9,898"
279,LYSTERFIELD,6917,6950,7013,26.0,-17.0,24.0,28.0,13.0,22.0,35.0,-47.0,22.0," 4,480 "," 4,544 ","4,541"
280,FERNTREE GULLY (NORTH),14337,14399,14517,43.0,-62.0,81.0,90.0,-49.0,77.0,45.0,5.0,75.0," 8,122 "," 8,209 ","8,275"
281,ROWVILLE - CENTRAL,15864,15913,15940,118.0,-219.0,150.0,118.0,-234.0,143.0,128.0,-287.0,139.0," 9,528 "," 9,685 ","9,853"
282,ROWVILLE - NORTH,8352,8392,8383,74.0,-103.0,69.0,44.0,-118.0,65.0,61.0,-137.0,65.0," 5,000 "," 5,054 ","5,082"
283,FERNTREE GULLY (SOUTH) - UPPER FERNTREE GULLY,15230,15253,15336,69.0,-128.0,82.0,111.0,-110.0,82.0,88.0,-27.0,81.0," 8,886 "," 9,125 ","9,344"
284,ROWVILLE - SOUTH,11000,10988,10963,69.0,-168.0,87.0,69.0,-182.0,88.0,74.0,-158.0,87.0," 6,875 "," 6,947 ","7,010"
285,THE BASIN,4441,4463,4478,47.0,-39.0,14.0,29.0,-27.0,13.0,36.0,-54.0,12.0," 2,628 "," 2,657 ","2,644"
286,ST ALBANS - NORTH,21064,21437,21686,230.0,-363.0,506.0,229.0,-464.0,484.0,219.0,-584.0,474.0," 9,369 "," 9,936 ","10,444"
287,WANTIRNA,14425,14489,14592,50.0,-174.0,188.0,34.0,-124.0,193.0,-2.0,-138.0,191.0," 8,487 "," 8,726 ","8,843"
288,BORONIA,22918,23248,23449,141.0,24.0,165.0,71.0,-28.0,158.0,126.0,4.0,155.0," 12,903 "," 13,284 ","13,440"
289,WANTIRNA SOUTH,18580,18673,18853,-9.0,-169.0,271.0,-25.0,-73.0,278.0,10.0,-145.0,277.0," 11,019 "," 11,196 ","11,320"
290,DONVALE - PARK ORCHARDS,16715,16806,16877,2.0,-30.0,119.0,3.0,-43.0,111.0,-23.0,-67.0,108.0," 10,206 "," 10,458 ","10,473"
291,WARRANDYTE - WONGA PARK,10613,10645,10658,11.0,-31.0,52.0,14.0,-52.0,51.0,20.0,-72.0,51.0," 6,791 "," 6,856 ","6,810"
292,BAYSWATER NORTH,12257,12351,12470,34.0,-4.0,64.0,54.0,4.0,61.0,68.0,-82.0,61.0," 7,009 "," 7,120 ","7,251"
293,RINGWOOD,17931,18289,18488,126.0,-89.0,321.0,95.0,-217.0,321.0,77.0,-23.0,319.0," 9,980 "," 10,495 ","10,844"
294,RINGWOOD EAST,21031,21341,21544,136.0,-123.0,297.0,144.0,-226.0,285.0,135.0,-214.0,279.0," 12,115 "," 12,335 ","12,498"
295,RINGWOOD NORTH,9991,10062,10099,29.0,-27.0,69.0,27.0,-52.0,62.0,16.0,-95.0,56.0," 6,098 "," 6,113 ","6,168"
296,CROYDON - EAST,15724,16059,16367,153.0,17.0,165.0,156.0,-6.0,158.0,133.0,-112.0,155.0," 8,678 "," 8,833 ","9,067"
297,CROYDON - WEST,13805,14163,14418,72.0,159.0,127.0,39.0,94.0,122.0,56.0,73.0,119.0," 7,780 "," 8,013 ","8,092"
298,CROYDON SOUTH,4856,4899,4916,49.0,-47.0,41.0,57.0,-78.0,38.0,37.0,-41.0,38.0," 2,715 "," 2,772 ","2,861"
299,FOREST HILL,11074,11283,11387,5.0,4.0,200.0,39.0,-126.0,191.0,15.0,-114.0,188.0," 6,100 "," 6,331 ","6,407"
300,NARRE WARREN SOUTH (EAST),13713,13814,13871,118.0,-110.0,93.0,106.0,-144.0,95.0,92.0,-190.0,91.0," 7,631 "," 7,765 ","7,910"
301,NUNAWADING,12363,12651,12839,91.0,-64.0,261.0,92.0,-160.0,256.0,64.0,-227.0,249.0," 6,983 "," 7,174 ","7,287"
302,VERMONT,10896,11041,11176,56.0,-91.0,180.0,74.0,-124.0,185.0,28.0,-76.0,182.0," 6,306 "," 6,416 ","6,497"
303,FRANKSTON NORTH,19939,19966,19966,101.0,-183.0,109.0,96.0,-200.0,104.0,42.0,-169.0,101.0," 9,120 "," 9,526 ","9,834"
304,VERMONT SOUTH,12251,12347,12388,-18.0,-50.0,164.0,-39.0,-102.0,182.0,-37.0,-141.0,178.0," 7,373 "," 7,510 ","7,617"
305,CHIRNSIDE PARK,10266,10645,10987,87.0,223.0,69.0,97.0,178.0,67.0,110.0,221.0,65.0," 6,479 "," 6,762 ","7,024"
306,HEALESVILLE - YARRA GLEN,14106,14304,14512,35.0,120.0,43.0,52.0,114.0,42.0,58.0,28.0,40.0," 7,908 "," 8,088 ","8,182"
307,BELGRAVE - SELBY,10453,10463,10452,77.0,-120.0,53.0,75.0,-142.0,56.0,83.0,-176.0,55.0," 6,171 "," 6,191 ","6,372"
308,KILSYTH,9470,9580,9656,28.0,43.0,39.0,11.0,28.0,37.0,61.0,80.0,36.0," 5,304 "," 5,389 ","5,430"
309,MONTROSE,7078,7131,7154,2.0,25.0,26.0,30.0,-32.0,25.0,-8.0,-34.0,26.0," 4,091 "," 4,146 ","4,102"
310,MOOROOLBARK,23027,23466,23724,212.0,73.0,154.0,204.0,-93.0,147.0,218.0,-27.0,142.0," 13,191 "," 13,446 ","13,601"
311,MOUNT DANDENONG - OLINDA,10109,10127,10137,73.0,-105.0,50.0,45.0,-83.0,48.0,55.0,-41.0,46.0," 6,087 "," 6,098 ","6,085"
312,NARRE WARREN SOUTH (WEST),17513,17718,17825,213.0,-220.0,212.0,184.0,-294.0,217.0,200.0,-378.0,213.0," 8,871 "," 9,029 ","9,115"
313,MOUNT EVELYN,10081,10170,10208,116.0,-65.0,38.0,73.0,-70.0,35.0,96.0,-40.0,34.0," 5,834 "," 5,871 ","5,976"
314,UPWEY - TECOMA,10040,10041,10048,76.0,-111.0,36.0,71.0,-102.0,38.0,107.0,-170.0,38.0," 6,163 "," 6,205 ","6,287"
315,WANDIN - SEVILLE,7884,7959,8055,61.0,0.0,14.0,70.0,13.0,13.0,73.0,-73.0,12.0," 4,856 "," 4,920 ","5,021"
316,YARRA VALLEY,16622,16665,16751,74.0,-67.0,36.0,97.0,-44.0,33.0,87.0,-34.0,32.0," 8,968 "," 9,165 ","9,341"
317,PAKENHAM - NORTH,19370,20564,21640,338.0,730.0,126.0,359.0,597.0,120.0,356.0,544.0,117.0," 10,443 "," 11,074 ","11,529"
318,PAKENHAM - SOUTH,29580,30959,32087,388.0,695.0,296.0,376.0,468.0,284.0,374.0,369.0,278.0," 15,355 "," 16,176 ","16,821"
319,ENDEAVOUR HILLS - NORTH,12499,12483,12515,69.0,-189.0,104.0,108.0,-175.0,99.0,88.0,-199.0,96.0," 6,486 "," 6,716 ","6,753"
320,BERWICK - NORTH,23824,23999,24040,75.0,-152.0,252.0,-14.0,-201.0,256.0,38.0,-151.0,249.0," 13,852 "," 14,035 ","14,015"
321,ENDEAVOUR HILLS - SOUTH,14160,14140,14092,126.0,-315.0,169.0,138.0,-351.0,165.0,117.0,-327.0,162.0," 7,687 "," 7,823 ","7,785"
322,CLARINDA - OAKLEIGH SOUTH,12323,12354,12361,41.0,-186.0,176.0,16.0,-176.0,167.0,34.0,-219.0,164.0," 6,638 "," 6,748 ","6,664"
323,BERWICK - SOUTH,26874,27742,28500,332.0,208.0,328.0,318.0,111.0,329.0,279.0,-21.0,321.0," 14,686 "," 15,269 ","15,969"
324,NARRE WARREN - NORTH EAST,13967,14048,14169,140.0,-189.0,130.0,168.0,-176.0,129.0,128.0,-227.0,125.0," 7,736 "," 7,890 ","7,998"
325,DOVETON,11867,12067,12210,112.0,-135.0,223.0,118.0,-187.0,212.0,110.0,-255.0,209.0," 5,048 "," 5,280 ","5,485"
326,HALLAM,11335,11525,11630,105.0,-128.0,213.0,61.0,-160.0,204.0,71.0,-133.0,200.0," 5,515 "," 5,680 ","5,791"
327,NARRE WARREN - SOUTH WEST,14544,14736,14889,159.0,-202.0,235.0,169.0,-252.0,236.0,133.0,-242.0,229.0," 7,522 "," 7,806 ","8,031"
328,NARRE WARREN NORTH,8183,8357,8549,-19.0,144.0,49.0,-5.0,150.0,47.0,-6.0,57.0,46.0," 5,079 "," 5,084 ","5,159"
329,CRANBOURNE,20888,21130,21271,259.0,-250.0,233.0,221.0,-305.0,225.0,217.0,-399.0,220.0," 10,563 "," 10,852 ","11,063"
330,CLAYTON SOUTH,13296,13507,13827,154.0,-564.0,621.0,131.0,-429.0,618.0,140.0,-294.0,615.0," 7,015 "," 7,438 ","7,807"
331,CRANBOURNE EAST,26754,34130,41381,602.0,6307.0,467.0,769.0,6037.0,445.0,879.0,6503.0,436.0," 17,511 "," 21,261 ","25,862"
332,CRANBOURNE NORTH,20985,22497,23885,393.0,830.0,289.0,346.0,766.0,276.0,390.0,359.0,270.0," 11,463 "," 12,273 ","12,900"
333,CRANBOURNE SOUTH,9116,9392,10255,66.0,171.0,39.0,90.0,736.0,37.0,104.0,1577.0,36.0," 5,620 "," 6,225 ","7,413"
334,CRANBOURNE WEST,15685,17145,18604,365.0,879.0,216.0,400.0,853.0,206.0,388.0,560.0,203.0," 9,049 "," 9,712 ","10,528"
335,DANDENONG,32700,33396,33934,388.0,-754.0,1062.0,391.0,-868.0,1015.0,295.0,-926.0,992.0," 14,768 "," 15,550 ","15,915"
336,DANDENONG NORTH,23684,23820,23915,141.0,-384.0,379.0,177.0,-444.0,362.0,178.0,-487.0,354.0," 11,533 "," 11,739 ","12,036"
337,DINGLEY VILLAGE,10611,10642,10687,30.0,-73.0,74.0,-17.0,-10.0,72.0,37.0,-41.0,70.0," 6,421 "," 6,440 ","6,475"
338,KEYSBOROUGH,27471,28749,29856,224.0,626.0,428.0,298.0,393.0,416.0,273.0,354.0,406.0," 15,103 "," 15,902 ","16,704"
339,NOBLE PARK NORTH,7871,7906,7928,48.0,-113.0,100.0,58.0,-132.0,96.0,75.0,-160.0,93.0," 3,821 "," 3,896 ","4,012"
340,SPRINGVALE,22761,23256,23642,226.0,-582.0,851.0,146.0,-591.0,831.0,171.0,-712.0,814.0," 10,891 "," 11,595 ","12,210"
341,CLAYTON,23672,25484,26785,84.0,-989.0,2717.0,71.0,-1096.0,2326.0,-10.0,-1340.0,2120.0," 9,572 "," 10,357 ","11,056"
342,SPRINGVALE SOUTH,13227,13321,13372,91.0,-324.0,327.0,88.0,-349.0,312.0,85.0,-354.0,305.0," 6,405 "," 6,708 ","6,900"
343,NOBLE PARK - EAST,13073,13301,13501,151.0,-392.0,469.0,163.0,-415.0,452.0,130.0,-453.0,442.0," 6,691 "," 7,065 ","7,417"
344,NOBLE PARK - WEST,19435,19769,19992,150.0,-359.0,543.0,155.0,-452.0,520.0,101.0,-424.0,509.0," 9,388 "," 9,992 ","10,508"
345,ASHWOOD - CHADSTONE,19308,19872,20204,149.0,-79.0,494.0,139.0,-276.0,469.0,92.0,-140.0,450.0," 10,858 "," 11,290 ","11,715"
