,Facility ID,Facility Name,Street Name,Suburb/Town,Pcode,Latitude,Longitude,Field/Surface Type,FullAddress,MelwaysVicRoadsRef
134,HOBSON12969,Laverton Swim and Fitness Centre,Jennings,LAVERTON,3028.0,-37.856729,144.774534,," Jennings Street, LAVERTON 3028",53 E8
135,HOBSON12977,Peyote Gym Williamstown,Ferguson,WILLIAMSTOWN,3016.0,-37.859291,144.898802,,"1/65 Ferguson Street, WILLIAMSTOWN 3016",56 C8
136,HOBSON12979,Run With Me Fitness Club Altona,Pier,ALTONA,3018.0,-37.865405,144.830678,,"117 Pier Street, ALTONA 3018",54 H10
137,HOBSON12984,Sweeney's Swim & Fitness Centre,Pier,ALTONA,3018.0,-37.8655,144.831,,"116 Pier Street, ALTONA 3018",54 H10
138,HOBSON12986,Westgate Health and Fitness Club Altona North,Grieve,ALTONA NORTH,3025.0,-37.833056,144.825247,,"499 Grieve Parade, ALTONA NORTH 3025",54 G1
139,HORSHA11378,Natimuk & District Gymnastic Club,Sudholz,NATIMUK,3409.0,-36.743172,141.93657,," Sudholz Street, NATIMUK 3409",543 R11
140,HUMECI11752,Focus Health and Fitness,Carrick,TULLAMARINE,3043.0,-37.7005,144.885,,"35 Carrick Drive, TULLAMARINE 3043",15 K1
141,HUMECI11772,Life Fitness Centre,Somerton,SOMERTON,3062.0,-37.642,144.9465,,"1/40 Somerton Road, SOMERTON 3062",180 D9
142,HUMECI11776,OnTarget Fitness,Elizabeth,SUNBURY,3429.0,-37.566,144.724,,"282 Elizabeth Drive, SUNBURY 3429",362 C12
143,HUMECI11777,Powercore Fitness,Sydney,CRAIGIEBURN,3064.0,-37.616648,144.948157,,"302 Sydney Road, CRAIGIEBURN 3064",180 D2
144,HUMECI11739,Unique Female Fitness,Walters,CRAIGIEBURN,3064.0,-37.601,144.943,,"1 Walters Street, CRAIGIEBURN 3064",387 C9
145,HUMECI11751,Fitness Arena,Reservoir,COOLAROO,3064.0,-37.642729,144.93232,,"33/22-36 Reservoir Drive, COOLAROO 3064",179 K9
146,HUMECI11516,Sunbury Gymnastic College,Sussex,SUNBURY,3429.0,,,,"14 Sussex Court, SUNBURY 3429",
147,INDIGO10994,Beechworth Squash and Fitness Centre,Melish,BEECHWORTH,3747.0,-36.366693,146.682768,,"4 Melish Street, BEECHWORTH 3747",659 N6
148,KINGST10944,Anytime Fitness Cheltenham,Jamieson,CHELTENHAM ,3192.0,-37.960408,145.055455,,"10 Jamieson Street, CHELTENHAM  3192",
149,KINGST10915,Beach House Health & Fitness Chelsea Heights,Ashley Park,CHELSEA HEIGHTS,3196.0,-38.037529,145.137083,,"4 Ashley Park Drive, CHELSEA HEIGHTS 3196",
150,KINGST10935,Fitness is Fun,Como,PARKDALE,3194.0,-37.993904,145.076483,,"278 Como Parade, PARKDALE 3194",
151,KINGST10934,Kennedy's Health and Fitness,Wells,CHELSEA HEIGHTS,3196.0,-38.042087,145.139786,,"4/227 Wells Road, CHELSEA HEIGHTS 3196",
152,KINGST10977,Push It Fitness & Health,Charman,CHELTENHAM ,3192.0,,,,"258 Charman Road, CHELTENHAM  3192",
153,KINGST11491,Mordialloc Gymnastic Club,Warren,MORDIALLOC,3195.0,,,,"115 Warren Road, MORDIALLOC 3195",
154,KINGST11507,Patterson Lakes Gymnastics,Thompsons,PATTERSON LAKES,3197.0,-38.06901,145.143441,,"70 Thompsons Road, PATTERSON LAKES 3197",
155,KINGST10969,Moorabbin Sqush and Fitness Centre,Inderpendance,MOORABBIN,3189.0,,,Wooden Flooring,"10 Inderpendance Street, MOORABBIN 3189",
156,KNOXCI8544,Beach House Health & Fitness Boronia,Boronia,BORONIA,3155.0,-37.861,145.2815,,"9/163 Boronia Road, BORONIA 3155",64 K9
