,suburb,2014income,2015income,2016income,2017income,2018income
78,TRAFALGAR (VICNP)," 4,289 "," 4,369 "," 4,555 "," 4,581 ","4,703"
79,WARRAGUL," 10,288 "," 10,795 "," 11,208 "," 11,694 ","12,240"
80,ALPS - EAST, np , np , 4 , 3 , 3 
81,BAIRNSDALE," 7,483 "," 7,643 "," 7,781 "," 7,942 ","8,186"
82,BRUTHEN - OMEO," 4,347 "," 4,335 "," 4,459 "," 4,577 ","4,665"
83,LAKE KING, np , np , np , np , np 
84,LAKES ENTRANCE," 4,952 "," 5,009 "," 5,110 "," 5,288 ","5,343"
85,ORBOST," 3,153 "," 3,062 "," 3,133 "," 3,199 ","3,260"
86,PAYNESVILLE," 3,149 "," 3,140 "," 3,229 "," 3,321 ","3,462"
87,FOSTER," 4,746 "," 4,721 "," 4,858 "," 4,916 ","4,997"
88,FRENCH ISLAND, 59 , 62 , 60 , 53 , 43 
89,KORUMBURRA," 5,007 "," 4,994 "," 5,139 "," 5,290 ","5,427"
90,LEONGATHA," 6,126 "," 6,177 "," 6,332 "," 6,431 ","6,495"
91,PHILLIP ISLAND," 5,479 "," 5,648 "," 6,018 "," 6,338 ","6,534"
92,WILSONS PROMONTORY, np , np , 8 , 10 , 9 
93,WONTHAGGI - INVERLOCH," 10,831 "," 11,261 "," 11,702 "," 12,212 ","12,695"
94,CHURCHILL," 6,086 "," 6,019 "," 6,177 "," 6,268 ","6,326"
95,MOE - NEWBOROUGH," 7,718 "," 7,701 "," 7,726 "," 7,888 ","8,017"
96,MORWELL," 5,952 "," 5,849 "," 5,885 "," 5,929 ","6,029"
97,TRARALGON," 14,564 "," 14,696 "," 14,980 "," 15,266 ","15,725"
98,YALLOURN NORTH - GLENGARRY," 2,589 "," 2,484 "," 2,598 "," 2,621 ","2,708"
99,ALPS - WEST, 37 , 27 , 30 , 23 , 19 
100,LONGFORD - LOCH SPORT," 2,038 "," 2,095 "," 2,177 "," 2,220 ","2,291"
101,MAFFRA," 7,595 "," 7,625 "," 7,684 "," 7,703 ","7,910"
102,ROSEDALE," 2,201 "," 2,195 "," 2,285 "," 2,238 ","2,281"
103,SALE," 7,919 "," 7,907 "," 7,890 "," 8,041 ","8,160"
104,YARRAM," 2,759 "," 2,721 "," 2,750 "," 2,787 ","2,856"
105,BRUNSWICK," 16,134 "," 16,555 "," 17,741 "," 18,263 ","19,004"
106,BRUNSWICK EAST," 6,603 "," 7,218 "," 7,948 "," 8,331 ","8,757"
107,BRUNSWICK WEST," 8,148 "," 8,402 "," 8,887 "," 9,195 ","9,397"
108,COBURG," 15,122 "," 15,361 "," 15,929 "," 16,470 ","16,841"
109,PASCOE VALE SOUTH," 5,540 "," 5,654 "," 6,140 "," 6,270 ","6,446"
110,ALPHINGTON - FAIRFIELD," 5,274 "," 5,433 "," 5,678 "," 5,819 ","5,937"
111,NORTHCOTE," 14,967 "," 15,514 "," 16,022 "," 16,448 ","16,821"
112,THORNBURY," 10,626 "," 11,154 "," 11,439 "," 11,884 ","12,125"
113,ASCOT VALE," 8,524 "," 8,720 "," 9,239 "," 9,589 ","9,771"
114,ESSENDON - ABERFELDIE," 16,957 "," 17,507 "," 18,304 "," 18,810 ","19,182"
115,FLEMINGTON," 5,163 "," 5,341 "," 5,605 "," 5,944 ","6,212"
116,MOONEE PONDS," 8,659 "," 8,987 "," 9,269 "," 9,601 ","10,067"
117,CARLTON," 7,337 "," 7,796 "," 8,400 "," 9,030 ","9,422"
118,DOCKLANDS," 6,665 "," 7,337 "," 8,957 "," 10,207 ","11,263"
119,EAST MELBOURNE," 3,599 "," 3,631 "," 3,792 "," 3,823 ","3,899"
120,FLEMINGTON RACECOURSE, 54 , 45 , 47 , 59 , 65 
121,KENSINGTON (VICNP)," 6,781 "," 6,917 "," 7,079 "," 7,257 ","7,371"
122,MELBOURNE," 18,460 "," 20,622 "," 24,075 "," 26,083 ","27,182"
123,NORTH MELBOURNE," 10,909 "," 11,482 "," 12,853 "," 13,534 ","14,582"
124,PARKVILLE," 3,187 "," 3,394 "," 3,626 "," 3,920 ","4,045"
125,SOUTH YARRA - WEST," 4,167 "," 4,289 "," 4,720 "," 5,182 ","5,106"
126,SOUTHBANK," 11,273 "," 12,110 "," 13,321 "," 14,398 ","15,422"
127,WEST MELBOURNE, np , np , 6 , 8 , 7 
128,ALBERT PARK," 10,519 "," 10,447 "," 11,003 "," 11,491 ","11,685"
129,ELWOOD," 10,544 "," 10,599 "," 10,919 "," 10,926 ","11,046"
130,PORT MELBOURNE," 10,831 "," 10,498 "," 11,043 "," 11,181 ","11,132"
131,PORT MELBOURNE INDUSTRIAL, 107 , 133 , 236 , 385 , 610 
132,SOUTH MELBOURNE," 7,655 "," 7,682 "," 8,243 "," 8,697 ","8,953"
133,ST KILDA," 17,747 "," 18,254 "," 19,624 "," 20,032 ","20,537"
134,ST KILDA EAST," 10,990 "," 10,911 "," 11,686 "," 12,058 ","12,218"
135,ARMADALE," 6,197 "," 6,068 "," 6,486 "," 6,846 ","6,974"
136,PRAHRAN - WINDSOR," 13,476 "," 15,042 "," 14,996 "," 15,009 ","15,150"
137,SOUTH YARRA - EAST," 13,428 "," 13,949 "," 15,467 "," 16,102 ","16,272"
138,TOORAK," 10,112 "," 9,917 "," 10,096 "," 10,250 ","10,071"
139,ABBOTSFORD," 5,200 "," 5,625 "," 6,365 "," 6,439 ","6,589"
140,CARLTON NORTH - PRINCES HILL," 5,809 "," 5,669 "," 5,983 "," 6,106 ","6,129"
141,COLLINGWOOD," 4,497 "," 5,106 "," 5,698 "," 6,027 ","6,380"
142,FITZROY," 6,439 "," 6,511 "," 7,052 "," 7,083 ","7,189"
143,FITZROY NORTH," 7,895 "," 7,895 "," 8,483 "," 8,553 ","8,812"
144,RICHMOND (VICNP)," 20,133 "," 20,360 "," 21,746 "," 22,343 ","22,825"
145,YARRA - NORTH," 5,737 "," 5,730 "," 6,047 "," 6,158 ","6,261"
146,ASHBURTON (VICNP)," 4,640 "," 4,651 "," 4,646 "," 4,841 ","4,892"
147,BALWYN," 10,261 "," 10,452 "," 10,696 "," 10,868 ","11,052"
148,BALWYN NORTH," 12,850 "," 12,925 "," 13,032 "," 13,438 ","13,512"
149,CAMBERWELL," 13,721 "," 14,108 "," 14,144 "," 14,527 ","14,501"
150,GLEN IRIS - EAST," 10,586 "," 10,749 "," 11,196 "," 11,413 ","11,555"
151,HAWTHORN," 14,708 "," 15,439 "," 16,493 "," 17,176 ","17,287"
152,HAWTHORN EAST," 9,582 "," 10,079 "," 10,389 "," 10,774 ","11,148"
153,KEW," 16,131 "," 16,559 "," 16,786 "," 17,113 ","17,095"
154,KEW EAST," 3,997 "," 4,111 "," 4,185 "," 4,200 ","4,272"
155,SURREY HILLS (WEST) - CANTERBURY," 10,672 "," 10,825 "," 10,940 "," 11,079 ","11,103"
156,BULLEEN," 6,515 "," 6,623 "," 6,722 "," 6,829 ","6,946"
157,DONCASTER," 12,041 "," 12,401 "," 12,974 "," 13,582 ","14,237"
158,TEMPLESTOWE," 10,676 "," 10,685 "," 10,665 "," 10,792 ","10,914"
159,TEMPLESTOWE LOWER," 7,979 "," 7,916 "," 8,015 "," 8,163 ","8,144"
160,DONCASTER EAST (NORTH)," 9,147 "," 9,119 "," 9,355 "," 9,650 ","9,886"
161,DONCASTER EAST (SOUTH)," 7,537 "," 7,853 "," 8,008 "," 8,309 ","8,612"
162,BLACKBURN," 12,690 "," 12,890 "," 13,297 "," 13,726 ","14,088"
163,BLACKBURN SOUTH," 5,944 "," 5,836 "," 6,011 "," 6,167 ","6,283"
164,BOX HILL," 10,273 "," 10,405 "," 11,812 "," 12,330 ","12,915"
165,BOX HILL NORTH," 9,975 "," 9,990 "," 10,383 "," 10,768 ","11,124"
166,BURWOOD," 5,890 "," 5,971 "," 6,364 "," 6,815 ","7,160"
167,BURWOOD EAST," 5,904 "," 5,852 "," 6,049 "," 6,293 ","6,275"
168,SURREY HILLS (EAST) - MONT ALBERT," 6,440 "," 6,444 "," 6,709 "," 6,842 ","6,925"
169,BEAUMARIS," 8,783 "," 8,965 "," 9,083 "," 9,252 ","9,258"
170,BRIGHTON (VICNP)," 15,426 "," 15,761 "," 16,039 "," 16,312 ","16,253"
171,BRIGHTON EAST," 9,820 "," 9,874 "," 10,044 "," 10,278 ","10,293"
172,CHELTENHAM - HIGHETT (WEST)," 6,401 "," 6,647 "," 7,021 "," 7,219 ","7,438"
173,HAMPTON," 10,669 "," 10,845 "," 11,134 "," 11,338 ","11,547"
174,SANDRINGHAM - BLACK ROCK," 10,464 "," 10,711 "," 10,925 "," 11,206 ","11,359"
175,BENTLEIGH - MCKINNON," 13,181 "," 13,323 "," 13,879 "," 14,517 ","15,047"
176,CARNEGIE," 10,378 "," 10,625 "," 10,976 "," 11,438 ","11,945"
177,CAULFIELD - NORTH," 13,383 "," 13,659 "," 14,098 "," 14,633 ","14,662"
178,CAULFIELD - SOUTH," 11,184 "," 11,378 "," 11,673 "," 11,818 ","11,675"
179,ELSTERNWICK," 7,263 "," 7,553 "," 7,717 "," 7,932 ","8,120"
180,HUGHESDALE," 4,171 "," 4,243 "," 4,410 "," 4,528 ","4,600"
181,MURRUMBEENA," 5,679 "," 5,828 "," 5,966 "," 6,136 ","6,259"
182,ORMOND - GLEN HUNTLY," 7,968 "," 8,270 "," 8,419 "," 8,869 ","9,185"
183,BENTLEIGH EAST (NORTH)," 8,409 "," 8,585 "," 8,799 "," 9,067 ","9,401"
184,BENTLEIGH EAST (SOUTH)," 7,393 "," 7,676 "," 7,796 "," 8,086 ","8,190"
185,ASPENDALE GARDENS - WATERWAYS," 5,323 "," 5,311 "," 5,435 "," 5,541 ","5,618"
186,BRAESIDE, 156 , 146 , 160 , 156 , 138 
187,CARRUM - PATTERSON LAKES," 7,003 "," 7,089 "," 7,247 "," 7,302 ","7,424"
188,CHELSEA - BONBEACH," 7,917 "," 8,143 "," 8,431 "," 8,610 ","8,707"
189,CHELSEA HEIGHTS," 2,974 "," 3,004 "," 3,094 "," 3,158 ","3,165"
190,CHELTENHAM - HIGHETT (EAST)," 12,481 "," 12,965 "," 13,505 "," 13,946 ","14,549"
191,EDITHVALE - ASPENDALE," 7,489 "," 7,655 "," 7,770 "," 7,988 ","8,202"
192,MENTONE," 8,021 "," 8,035 "," 8,337 "," 8,524 ","8,596"
193,MOORABBIN - HEATHERTON," 4,996 "," 5,159 "," 5,288 "," 5,521 ","5,592"
194,MOORABBIN AIRPORT, np , np , 7 , 8 , 8 
195,MORDIALLOC - PARKDALE," 11,896 "," 12,059 "," 12,368 "," 12,671 ","13,021"
196,MALVERN - GLEN IRIS," 13,436 "," 13,330 "," 13,978 "," 14,381 ","14,437"
197,MALVERN EAST," 12,787 "," 12,785 "," 13,497 "," 13,831 ","14,094"
198,BUNDOORA - EAST," 5,376 "," 5,435 "," 5,474 "," 5,660 ","5,821"
199,GREENSBOROUGH," 12,458 "," 12,637 "," 12,751 "," 12,960 ","13,043"
200,HEIDELBERG - ROSANNA," 8,657 "," 8,921 "," 9,126 "," 9,515 ","9,755"
201,HEIDELBERG WEST," 6,651 "," 7,077 "," 7,362 "," 7,847 ","8,179"
202,IVANHOE," 7,161 "," 7,458 "," 7,720 "," 8,123 ","8,255"
203,IVANHOE EAST - EAGLEMONT," 5,298 "," 5,395 "," 5,450 "," 5,529 ","5,519"
204,MONTMORENCY - BRIAR HILL," 9,773 "," 9,895 "," 10,034 "," 10,176 ","10,215"
205,VIEWBANK - YALLAMBIE," 10,561 "," 10,730 "," 10,819 "," 11,003 ","11,035"
206,WATSONIA," 5,160 "," 5,264 "," 5,290 "," 5,384 ","5,516"
207,KINGSBURY," 5,173 "," 5,340 "," 5,665 "," 6,110 ","6,278"
208,RESERVOIR - EAST," 13,010 "," 13,550 "," 14,112 "," 14,937 ","15,566"
209,RESERVOIR - WEST," 12,189 "," 12,529 "," 13,053 "," 13,471 ","13,801"
210,PRESTON - EAST," 10,665 "," 10,976 "," 11,780 "," 12,110 ","12,549"
211,PRESTON - WEST," 6,763 "," 7,069 "," 7,332 "," 7,586 ","7,839"
212,ELTHAM," 14,689 "," 14,758 "," 14,815 "," 15,097 ","15,220"
213,HURSTBRIDGE," 2,130 "," 2,153 "," 2,219 "," 2,210 ","2,195"
214,KINGLAKE," 2,103 "," 2,179 "," 2,261 "," 2,273 ","2,329"
215,PANTON HILL - ST ANDREWS," 3,146 "," 3,187 "," 3,291 "," 3,334 ","3,317"
216,PLENTY - YARRAMBAT," 6,030 "," 6,076 "," 6,210 "," 6,316 ","6,326"
217,RESEARCH - NORTH WARRANDYTE," 4,227 "," 4,256 "," 4,332 "," 4,456 ","4,402"
218,WATTLE GLEN - DIAMOND CREEK," 8,608 "," 8,663 "," 8,903 "," 9,051 ","9,167"
219,BUNDOORA - NORTH," 3,790 "," 3,949 "," 4,182 "," 4,373 ","4,471"
220,BUNDOORA - WEST," 3,238 "," 3,248 "," 3,388 "," 3,454 ","3,521"
221,LALOR," 9,732 "," 10,104 "," 10,618 "," 11,055 ","11,440"
222,MILL PARK - NORTH," 10,310 "," 10,320 "," 10,634 "," 10,733 ","10,984"
223,MILL PARK - SOUTH," 6,729 "," 6,752 "," 6,851 "," 6,909 ","6,918"
224,THOMASTOWN," 9,248 "," 9,241 "," 9,715 "," 10,049 ","10,402"
225,WALLAN," 8,398 "," 8,838 "," 9,623 "," 10,316 ","11,176"
226,WHITTLESEA," 4,348 "," 4,375 "," 4,511 "," 4,724 ","4,855"
227,DOREEN," 10,182 "," 11,056 "," 12,150 "," 12,892 ","13,777"
228,EPPING - EAST," 6,722 "," 6,839 "," 7,110 "," 7,227 ","7,269"
229,EPPING - SOUTH," 4,229 "," 4,321 "," 4,467 "," 4,538 ","4,575"
230,EPPING - WEST," 5,258 "," 5,590 "," 5,988 "," 6,154 ","6,376"
231,MERNDA," 7,418 "," 8,574 "," 9,985 "," 10,820 ","11,828"
232,SOUTH MORANG (NORTH)," 6,484 "," 6,635 "," 6,953 "," 7,174 ","7,361"
233,SOUTH MORANG (SOUTH)," 6,465 "," 6,534 "," 6,787 "," 6,970 ","7,125"
234,WOLLERT," 3,573 "," 4,483 "," 5,750 "," 6,636 ","7,985"
235,AIRPORT WEST," 4,251 "," 4,298 "," 4,480 "," 4,639 ","4,842"
236,ESSENDON AIRPORT, np , np , 18 , 19 , 18 
237,KEILOR," 5,346 "," 5,346 "," 5,350 "," 5,470 ","5,366"
238,KEILOR EAST," 13,972 "," 14,126 "," 14,568 "," 14,783 ","15,130"
239,NIDDRIE - ESSENDON WEST," 4,158 "," 4,191 "," 4,312 "," 4,434 ","4,482"
240,STRATHMORE," 5,902 "," 5,934 "," 6,132 "," 6,309 ","6,429"
241,GISBORNE," 7,371 "," 7,619 "," 7,918 "," 8,095 ","8,257"
242,MACEDON," 2,029 "," 1,998 "," 2,079 "," 2,125 ","2,102"
243,RIDDELLS CREEK," 2,488 "," 2,514 "," 2,567 "," 2,629 ","2,656"
244,ROMSEY," 5,111 "," 5,233 "," 5,457 "," 5,683 ","5,883"
245,COBURG NORTH," 3,983 "," 4,160 "," 4,649 "," 4,831 ","5,067"
246,FAWKNER," 5,821 "," 6,029 "," 6,358 "," 6,731 ","7,001"
247,PASCOE VALE," 12,795 "," 13,087 "," 14,023 "," 14,539 ","15,325"
248,GLENROY," 10,466 "," 11,042 "," 11,963 "," 12,653 ","13,495"
249,GOWANBRAE," 1,727 "," 1,733 "," 1,797 "," 1,843 ","1,851"
250,HADFIELD," 2,610 "," 2,629 "," 2,786 "," 2,971 ","3,124"
251,SUNBURY," 7,449 "," 7,556 "," 7,829 "," 8,035 ","8,242"
252,SUNBURY - SOUTH," 14,893 "," 15,271 "," 15,982 "," 16,703 ","17,563"
253,BROADMEADOWS," 4,637 "," 4,885 "," 5,159 "," 5,524 ","6,021"
254,CAMPBELLFIELD - COOLAROO," 5,640 "," 5,804 "," 6,009 "," 6,333 ","6,474"
255,GLADSTONE PARK - WESTMEADOWS," 9,708 "," 9,861 "," 9,906 "," 10,143 ","10,202"
256,GREENVALE - BULLA," 9,157 "," 9,742 "," 10,544 "," 11,131 ","11,549"
257,MEADOW HEIGHTS," 5,484 "," 5,462 "," 5,532 "," 5,735 ","5,920"
258,MELBOURNE AIRPORT, 59 , 50 , 64 , 62 , 63 
259,ROXBURGH PARK - SOMERTON," 8,763 "," 8,968 "," 9,247 "," 9,804 ","10,352"
260,TULLAMARINE," 3,564 "," 3,542 "," 3,502 "," 3,616 ","3,683"
261,CRAIGIEBURN - CENTRAL," 4,277 "," 4,315 "," 4,363 "," 4,457 ","4,492"
262,CRAIGIEBURN - NORTH," 5,536 "," 5,773 "," 6,082 "," 6,469 ","6,687"
263,CRAIGIEBURN - SOUTH," 7,508 "," 8,214 "," 8,962 "," 9,643 ","10,195"
264,CRAIGIEBURN - WEST," 5,675 "," 6,609 "," 7,497 "," 8,260 ","9,333"
265,MICKLEHAM - YUROKE," 1,356 "," 1,989 "," 3,118 "," 4,542 ","6,743"
266,BAYSWATER," 6,764 "," 6,995 "," 7,021 "," 7,295 ","7,461"
267,KNOXFIELD - SCORESBY," 8,401 "," 8,693 "," 9,104 "," 9,492 ","9,898"
268,LYSTERFIELD," 4,310 "," 4,419 "," 4,480 "," 4,544 ","4,541"
269,ROWVILLE - CENTRAL," 9,281 "," 9,484 "," 9,528 "," 9,685 ","9,853"
270,ROWVILLE - NORTH," 4,802 "," 4,848 "," 5,000 "," 5,054 ","5,082"
271,ROWVILLE - SOUTH," 6,731 "," 6,783 "," 6,875 "," 6,947 ","7,010"
272,WANTIRNA," 8,508 "," 8,591 "," 8,487 "," 8,726 ","8,843"
273,WANTIRNA SOUTH," 10,741 "," 10,853 "," 11,019 "," 11,196 ","11,320"
274,BORONIA," 12,408 "," 12,573 "," 12,903 "," 13,284 ","13,440"
275,FERNTREE GULLY (NORTH)," 7,872 "," 7,927 "," 8,122 "," 8,209 ","8,275"
276,FERNTREE GULLY (SOUTH) - UPPER FERNTREE GULLY," 8,681 "," 8,671 "," 8,886 "," 9,125 ","9,344"
277,THE BASIN," 2,574 "," 2,556 "," 2,628 "," 2,657 ","2,644"
278,DONVALE - PARK ORCHARDS," 10,007 "," 10,086 "," 10,206 "," 10,458 ","10,473"
279,WARRANDYTE - WONGA PARK," 6,755 "," 6,755 "," 6,791 "," 6,856 ","6,810"
280,BAYSWATER NORTH," 6,757 "," 6,860 "," 7,009 "," 7,120 ","7,251"
281,CROYDON HILLS - WARRANWOOD," 11,215 "," 11,486 "," 11,572 "," 11,698 ","11,754"
282,RINGWOOD," 9,551 "," 9,790 "," 9,980 "," 10,495 ","10,844"
283,RINGWOOD EAST," 11,512 "," 11,719 "," 12,115 "," 12,335 ","12,498"
284,RINGWOOD NORTH," 5,916 "," 6,051 "," 6,098 "," 6,113 ","6,168"
285,CROYDON - EAST," 8,103 "," 8,382 "," 8,678 "," 8,833 ","9,067"
286,CROYDON - WEST," 7,382 "," 7,516 "," 7,780 "," 8,013 ","8,092"
